%time,field
1416504334038871087,135
1416504334064052485,136
1416504334084249619,135
1416504334105602252,136
1416504334129517436,135
1416504334149983544,136
1416504334170563974,136
1416504334195131676,140
1416504334215634623,136
1416504334241015212,133
1416504334260692234,140
1416504334281566703,135
1416504334305684466,134
1416504334326362325,135
1416504334350701314,136
1416504334370845228,135
1416504334392060690,137
1416504334415989209,134
1416504334436837846,133
1416504334457783651,134
1416504334481769184,138
1416504334502323408,136
1416504334526994234,135
1416504334547380041,136
1416504334568187153,136
1416504334592023688,139
1416504334612992872,134
1416504334633666076,136
1416504334657843626,133
1416504334678481913,138
1416504334703032782,137
1416504334723086773,137
1416504334744486061,136
1416504334769556327,140
1416504334788980894,134
1416504334809728658,134
1416504334834047462,136
1416504334854635899,135
1416504334878672492,135
1416504334899629103,135
1416504334921286641,135
1416504334945211918,133
1416504334965182845,136
1416504334989352225,134
1416504335009896206,136
1416504335031357179,135
1416504335055256843,136
1416504335075822257,136
1416504335097279707,139
1416504335121466065,133
1416504335140941470,134
1416504335165387281,136
1416504335185799744,137
1416504335207327929,135
1416504335231276133,134
1416504335251928053,135
1416504335273529359,135
1416504335297133994,134
1416504335317453090,135
1416504335341882800,133
1416504335362277718,135
1416504335386902043,139
1416504335406947309,136
1416504335427585764,140
1416504335452502757,136
1416504335473249698,136
1416504335493502212,136
1416504335518078630,137
1416504335538614688,141
1416504335562974208,136
1416504335583591124,134
1416504335603857621,129
1416504335628703578,135
1416504335649240729,136
1416504335673633590,135
1416504335694204461,136
1416504335714764789,136
1416504335738783961,137
1416504335759701270,138
1416504335779986530,137
1416504335804843392,135
1416504335825408475,136
1416504335849692309,136
1416504335869882163,136
1416504335890985059,136
1416504335914980735,134
1416504335935778029,135
1416504335955850630,134
1416504335980539575,137
1416504336001745836,134
1416504336025464414,137
1416504336046442699,136
1416504336066799059,136
1416504336091497923,139
1416504336112006288,135
1416504336132768444,136
1416504336157163004,135
1416504336177120039,135
1416504336202029110,136
1416504336222479769,135
1416504336243131640,137
1416504336267302743,137
1416504336287479517,133
1416504336313144399,136
1416504336332735666,135
1416504336353918856,136
1416504336377629451,135
1416504336398666549,137
1416504336419017086,140
1416504336443578273,135
1416504336464512929,135
1416504336488931964,135
1416504336509186935,136
1416504336530081295,135
1416504336554106397,137
1416504336574732474,136
1416504336594992201,139
1416504336619913955,135
1416504336639905613,132
1416504336665364817,136
1416504336685331579,137
1416504336705866124,134
1416504336730278770,137
1416504336750842340,135
1416504336771493288,133
1416504336795710897,137
1416504336816865180,135
1416504336841255084,136
1416504336861467934,136
1416504336881888987,136
1416504336906737720,136
1416504336926638746,140
1416504336951516239,134
1416504336971939681,135
1416504336993105270,136
1416504337017041161,134
1416504337037346822,136
1416504337058486016,136
1416504337082579443,135
1416504337103137150,134
1416504337127602801,135
1416504337148168095,136
1416504337169469973,136
1416504337192717514,135
1416504337213345026,135
1416504337234716439,136
1416504337258733459,139
1416504337278969311,134
1416504337303706868,134
1416504337324311466,136
1416504337348750732,135
1416504337369489810,140
1416504337389397644,135
1416504337413818634,138
1416504337434608948,131
1416504337455343530,134
1416504337479429222,135
1416504337500467286,136
1416504337524847337,136
1416504337545007183,136
1416504337565645221,136
1416504337589928274,137
1416504337611002486,140
1416504337635477157,134
1416504337655813157,137
1416504337676158576,135
1416504337700993154,136
1416504337721506099,133
1416504337742158280,137
1416504337766229503,135
1416504337787126022,135
1416504337811380835,134
1416504337832096084,135
1416504337852305632,135
1416504337877125630,138
1416504337897674708,135
1416504337918296279,139
1416504337942758813,134
1416504337963174553,136
1416504337987598232,136
1416504338008243855,135
1416504338028910669,135
1416504338053338790,136
1416504338073704156,134
1416504338094382882,135
1416504338118811965,136
1416504338139280379,137
1416504338163558039,137
1416504338183884878,136
1416504338205032466,137
1416504338229400491,137
1416504338249792224,140
1416504338274003361,139
1416504338294841323,134
1416504338315521637,135
1416504338339962196,135
1416504338360871896,135
1416504338381109222,136
1416504338405508467,135
1416504338425844026,136
1416504338450499692,135
1416504338471003301,133
1416504338491282998,134
1416504338516053524,135
1416504338537194342,136
1416504338557216636,137
1416504338581186659,135
1416504338601977589,138
1416504338626390576,136
1416504338647167961,135
1416504338667856549,137
1416504338692207334,136
1416504338712988397,137
1416504338733473079,133
1416504338757891292,141
1416504338777870808,134
1416504338802722374,134
1416504338822923854,134
1416504338843915774,135
1416504338868376990,136
1416504338888873503,134
1416504338913319339,138
1416504338933898966,138
1416504338954667169,138
1416504338978456949,136
1416504338999945886,133
1416504339020086828,135
1416504339044038389,136
1416504339065767931,135
1416504339089648762,135
1416504339109833719,133
1416504339130734037,135
1416504339155020312,135
1416504339175539504,136
1416504339199904268,136
1416504339220565705,135
1416504339241269072,137
1416504339265401329,140
1416504339286085961,135
1416504339310171351,135
1416504339330693768,136
1416504339351700382,135
1416504339375628154,135
1416504339396422031,134
1416504339417555392,135
1416504339441598240,136
1416504339462206802,134
1416504339486599032,136
1416504339507229152,136
1416504339527777363,136
1416504339551725170,136
1416504339572819353,136
1416504339596889162,140
1416504339617690886,134
1416504339638423419,135
1416504339662802098,135
1416504339683050263,136
1416504339703969209,135
1416504339728659484,136
1416504339748506881,137
1416504339773056377,137
1416504339793837866,134
1416504339814621144,136
1416504339838903494,135
