%time,field
1416503986297156907,293
1416503986321986697,294
1416503986342318767,296
1416503986363513968,296
1416503986388832697,296
1416503986408193593,296
1416503986432155728,296
1416503986452614145,299
1416503986474598339,294
1416503986498088058,299
1416503986518755188,295
1416503986543375279,296
1416503986564079126,295
1416503986584322421,297
1416503986608333351,298
1416503986629207480,292
1416503986653570744,295
1416503986673857337,296
1416503986694905470,297
1416503986719335024,296
1416503986740190891,296
1416503986764389968,296
1416503986785008964,297
1416503986805243403,295
1416503986829858417,295
1416503986850425495,296
1416503986870859898,297
1416503986895077031,296
1416503986916016497,295
1416503986940426537,302
1416503986960550361,297
1416503986981397794,296
1416503987005946263,295
1416503987026571497,293
1416503987047129831,296
1416503987071680504,296
1416503987092207842,296
1416503987116322768,301
1416503987137158876,293
1416503987157295048,298
1416503987182074730,295
1416503987202796463,297
1416503987223008853,295
1416503987247720696,297
1416503987268226285,297
1416503987292637954,304
1416503987312898217,299
1416503987333682958,293
1416503987358249998,296
1416503987378405148,295
1416503987404175450,297
1416503987423382286,296
1416503987444137716,298
1416503987468499025,294
1416503987489345997,295
1416503987509858216,296
1416503987534067426,293
1416503987555214829,297
1416503987579731180,296
1416503987599921314,296
1416503987620319835,301
1416503987644966210,295
1416503987664978726,295
1416503987686070108,295
1416503987709997170,295
1416503987731133318,296
1416503987755736648,296
1416503987775957848,297
1416503987796928356,296
1416503987821028920,294
1416503987841581449,297
1416503987862272818,296
1416503987886207511,297
1416503987907344215,296
1416503987931232883,296
1416503987951801551,298
1416503987972766730,292
1416503987996849288,296
1416503988017458802,296
1416503988042278821,297
1416503988062756797,294
1416503988083891686,297
1416503988107318433,295
1416503988128301651,299
1416503988149797622,294
1416503988173379721,295
1416503988193557658,295
1416503988218342827,296
1416503988238848231,296
1416503988259468309,296
1416503988283581691,303
1416503988304469428,298
1416503988325066302,296
1416503988349467516,296
1416503988369463921,297
1416503988394417678,296
1416503988414744803,297
1416503988436000636,296
1416503988459607982,298
1416503988480537722,295
1416503988504996833,293
1416503988525424239,295
1416503988546412357,295
1416503988570600980,296
1416503988590919219,296
1416503988615338936,296
1416503988636404979,299
1416503988656718538,297
1416503988680713508,296
1416503988701553028,296
1416503988726134256,296
1416503988746792961,296
1416503988767236284,297
1416503988791748801,299
1416503988812471672,294
1416503988832852533,295
1416503988857200023,298
1416503988877794744,293
1416503988901917037,296
1416503988922416930,296
1416503988943350070,295
1416503988967755364,300
1416503988988466306,292
1416503989009015313,296
1416503989033390759,295
1416503989053570936,297
1416503989077987521,296
1416503989099747577,297
1416503989119147054,300
1416503989143436816,297
1416503989164416820,298
1416503989185104521,296
1416503989209563643,298
1416503989229714327,295
1416503989254481215,295
1416503989274679107,295
1416503989295284156,299
1416503989320091932,294
1416503989340495891,296
1416503989364825205,293
1416503989385589062,296
1416503989405998818,297
1416503989430513066,297
1416503989451132616,295
1416503989471169797,295
1416503989495976883,295
1416503989516608517,297
1416503989541018682,297
1416503989561814323,296
1416503989582338504,295
1416503989606704508,296
1416503989627076144,295
1416503989647523221,293
1416503989671932298,297
1416503989692939162,296
1416503989717005965,296
1416503989737879773,296
1416503989758506912,297
1416503989782853283,295
1416503989803688513,299
1416503989824179128,292
1416503989848547393,295
1416503989868646816,295
1416503989893702078,296
1416503989913656583,296
1416503989934611159,296
1416503989958990585,297
1416503989979887215,292
1416503990003680492,295
1416503990024510220,295
1416503990044534242,296
1416503990069638475,296
1416503990090126625,296
1416503990111573441,296
1416503990134889300,298
1416503990155964002,295
1416503990180252830,296
1416503990200779607,297
1416503990221440136,297
1416503990245699776,297
1416503990266251028,297
1416503990287905961,295
1416503990311059970,298
1416503990332072943,295
1416503990356366399,295
