%time,field
1416504092850718850,230
1416504092874892458,230
1416504092895307920,231
1416504092919242738,230
1416504092940209187,228
1416504092964284317,230
1416504092984851922,231
1416504093005799767,231
1416504093030284922,230
1416504093051974664,230
1416504093071406199,229
1416504093095855884,229
1416504093115905403,227
1416504093140506277,229
1416504093161309557,230
1416504093181992971,230
1416504093206480111,232
1416504093227403702,234
1416504093247661990,229
1416504093272074145,229
1416504093292150150,230
1416504093316596056,229
1416504093337134575,230
1416504093358167323,229
1416504093382575473,230
1416504093403366268,230
1416504093423713363,229
1416504093448218371,232
1416504093468333327,230
1416504093493159820,231
1416504093513820600,230
1416504093534298637,231
1416504093558699255,235
1416504093579523731,229
1416504093603786367,229
1416504093624300195,230
1416504093644904517,229
1416504093669208522,229
1416504093689460982,231
1416504093710453178,229
1416504093734929699,230
1416504093755420399,228
1416504093779765496,230
1416504093800459988,231
1416504093821028489,225
1416504093844941373,230
1416504093865608137,230
1416504093886536959,231
1416504093911093135,228
1416504093931506305,228
1416504093955549343,229
1416504093976635432,231
1416504093997159538,229
1416504094021526234,234
1416504094041664842,230
1416504094062677930,232
1416504094087157493,228
1416504094107652126,230
1416504094132046450,230
1416504094152251166,230
1416504094172776691,227
1416504094197700485,230
1416504094218405832,230
1416504094242997759,228
1416504094263237029,230
1416504094283423354,229
1416504094307856582,230
1416504094328790732,229
1416504094349312522,231
1416504094373750716,228
1416504094394480763,232
1416504094418446756,229
1416504094439338029,229
1416504094459794291,229
1416504094484356711,229
1416504094504976469,231
1416504094525873940,231
1416504094549424027,231
1416504094570543371,225
1416504094594550738,229
1416504094615484708,229
1416504094635929995,230
1416504094660168663,227
1416504094681035358,230
1416504094702787261,230
1416504094726039974,234
1416504094746760324,229
1416504094771382329,229
1416504094791535615,231
1416504094815643730,230
1416504094836522620,231
1416504094857092284,230
1416504094882304977,230
1416504094901869343,228
1416504094926171073,230
1416504094946737474,229
1416504094967716791,229
1416504094992209949,227
1416504095012755133,230
1416504095032912147,230
1416504095057797414,234
1416504095077892136,229
1416504095102319004,231
1416504095123463130,230
1416504095143928462,230
1416504095167792916,230
1416504095188715690,230
1416504095209056570,231
1416504095234010898,233
1416504095254638038,228
1416504095278500156,230
1416504095299336372,229
1416504095319976603,230
1416504095344086316,229
1416504095364782850,229
1416504095385521485,238
1416504095410705343,229
1416504095430521274,230
1416504095455101089,229
1416504095475423046,230
1416504095495744511,230
1416504095520604287,231
1416504095540724021,229
1416504095565575998,232
1416504095586602531,228
1416504095607017014,231
1416504095631092127,230
1416504095651484908,231
1416504095671871872,229
1416504095696303938,229
1416504095717305646,235
1416504095741480813,227
1416504095762436507,229
1416504095782439752,230
1416504095807234885,231
1416504095827363644,229
1416504095847991812,232
1416504095872784057,230
1416504095893315487,230
1416504095917805858,228
1416504095939317860,229
1416504095959042073,230
1416504095983311209,230
1416504096003753514,230
1416504096024742092,229
1416504096048957240,229
1416504096068963809,231
1416504096093887647,230
1416504096114430721,229
1416504096135038642,230
1416504096159737085,231
1416504096180314642,231
1416504096204199657,230
1416504096225047201,232
1416504096245732106,229
1416504096270055855,231
1416504096291085130,231
1416504096311191244,231
1416504096335587457,229
1416504096355887570,231
1416504096380465335,230
1416504096400667281,233
1416504096421817525,230
1416504096446099535,229
1416504096467025662,229
1416504096487852303,229
1416504096511735845,229
1416504096532264020,229
1416504096556576028,232
1416504096576833444,229
1416504096598644891,228
1416504096622225412,230
1416504096642644730,231
1416504096663590411,230
1416504096687595859,231
1416504096708483278,230
1416504096732919567,232
1416504096753311679,228
1416504096775057097,230
1416504096798361396,230
1416504096819343745,229
1416504096843471546,229
1416504096863904770,230
1416504096888516452,230
1416504096908984616,230
1416504096929556555,230
1416504096953984906,230
1416504096974028243,234
1416504096995516799,230
1416504097019611484,229
1416504097040160671,230
1416504097064192290,234
1416504097084638994,227
1416504097105601578,230
1416504097130304622,229
1416504097150788071,230
1416504097171257903,230
1416504097195524734,230
1416504097216215106,229
1416504097240332137,231
1416504097261072873,229
1416504097281420620,229
1416504097305940614,229
1416504097326770918,229
1416504097347537588,229
1416504097371340508,230
1416504097392384311,232
1416504097416817132,228
1416504097436933704,232
1416504097457671580,229
1416504097482749020,231
1416504097502887545,230
1416504097523095799,231
1416504097548094106,232
1416504097568633106,233
1416504097593025180,229
1416504097613270364,230
1416504097634173920,230
1416504097658953962,230
1416504097679009727,230
1416504097703541076,230
1416504097723995409,231
1416504097744766118,228
1416504097768968730,231
1416504097789236809,229
1416504097810853355,231
1416504097834308932,230
1416504097855118876,231
1416504097879568310,230
1416504097899943408,234
1416504097920369231,229
1416504097944834982,229
1416504097965249523,231
1416504097986093991,229
1416504098010672011,230
1416504098031259039,229
1416504098055742310,232
1416504098076358444,227
1416504098096894056,228
1416504098121017747,229
1416504098141879949,225
1416504098162792053,230
1416504098187406111,230
1416504098206971554,230
1416504098231389678,232
1416504098252442591,229
1416504098272638067,230
1416504098297400611,231
1416504098317599881,230
1416504098342175631,230
1416504098363017642,227
1416504098383673661,230
1416504098407876512,228
1416504098428644510,229
1416504098449352016,230
1416504098473201902,229
1416504098493689625,230
1416504098518575358,232
1416504098538677813,230
1416504098560661646,234
1416504098584157855,231
1416504098604476987,230
1416504098625201877,229
1416504098649770321,229
1416504098669673039,230
1416504098694849801,231
1416504098714808205,230
1416504098736600043,226
1416504098760273734,228
1416504098780852649,231
1416504098804903119,229
1416504098825929508,230
1416504098846005510,231
1416504098870805337,232
1416504098892227046,234
1416504098915774752,229
1416504098936406186,229
1416504098956894355,229
1416504098981368861,232
1416504099001897512,230
1416504099026875063,230
1416504099047017158,237
1416504099067656234,231
1416504099091576499,228
1416504099112044623,232
1416504099132630634,229
1416504099157272499,231
1416504099178444272,230
1416504099203482024,230
1416504099222611490,236
1416504099244227284,228
1416504099268063840,229
1416504099288635789,229
1416504099308696149,230
1416504099333624022,231
1416504099354415014,227
1416504099378949893,230
1416504099399127561,233
1416504099419316532,230
1416504099444032385,230
1416504099464727428,230
1416504099485357133,227
1416504099509729758,230
1416504099531150319,229
1416504099554526762,230
1416504099575321927,229
1416504099595918698,232
1416504099619823929,229
1416504099640929381,230
1416504099664943610,230
1416504099685615275,228
1416504099706230161,230
1416504099731157528,234
1416504099751011395,228
1416504099771526190,230
1416504099796501826,230
1416504099816610034,230
1416504099841418775,230
1416504099861733614,230
1416504099882910058,230
1416504099907341481,228
1416504099927488372,231
1416504099948094258,231
1416504099972642837,230
1416504099992756903,229
1416504100017284946,228
1416504100038094784,229
1416504100058452452,238
1416504100082767121,229
1416504100103626637,229
1416504100124164929,231
1416504100148493194,229
1416504100169126172,229
1416504100193682743,230
1416504100213945361,231
1416504100235535913,228
1416504100259340918,228
1416504100279433706,229
1416504100304471869,229
1416504100324305711,227
1416504100344920517,230
1416504100369924542,230
1416504100389765146,235
1416504100411810396,230
1416504100435354099,229
1416504100455390831,230
1416504100480024612,230
1416504100500859507,230
1416504100523200920,231
1416504100546226498,229
1416504100566199415,228
1416504100587478260,230
1416504100611087561,228
1416504100632071829,230
1416504100656001396,230
1416504100676821091,230
1416504100701484219,229
1416504100722184344,232
1416504100742114328,231
1416504100766941132,227
1416504100787400996,230
1416504100807815600,230
1416504100832734227,231
1416504100852640518,229
1416504100877531483,227
1416504100898112262,230
1416504100918366847,228
1416504100942817619,232
1416504100963533269,229
1416504100987729249,231
1416504101008786898,231
