%time,field
1416504382994688818,131
1416504383019155370,128
1416504383040983365,131
1416504383064910501,130
1416504383084986416,127
1416504383105532737,134
1416504383129962105,131
1416504383150563737,129
1416504383171130514,128
1416504383195265310,131
1416504383216411324,127
1416504383240625555,131
1416504383260882226,131
1416504383281324551,129
1416504383306188014,130
1416504383326672494,131
1416504383351222446,128
1416504383371477954,126
1416504383392064015,131
1416504383416529405,131
1416504383436919753,131
1416504383457691408,132
1416504383482136769,132
1416504383502481809,131
1416504383526982118,134
1416504383547450513,132
1416504383569057998,127
1416504383592457629,132
1416504383613406502,130
1416504383633648147,129
1416504383657979454,131
1416504383678457680,127
1416504383703484428,126
1416504383723546311,130
1416504383745175088,132
1416504383769225264,127
1416504383789579525,128
1416504383810095071,127
1416504383834080925,129
1416504383854726762,131
1416504383880159629,136
1416504383899570199,130
1416504383920318736,131
1416504383945130150,131
1416504383965283165,128
1416504383989742386,128
1416504384010288917,130
1416504384030735693,134
1416504384056447708,130
1416504384076222902,131
1416504384097576512,132
1416504384120870658,128
1416504384141777892,128
1416504384166350380,128
1416504384186792811,131
1416504384207433288,126
1416504384231788873,126
1416504384252474748,127
1416504384273326667,132
1416504384296933747,128
1416504384317492998,132
1416504384342296910,132
1416504384362663429,128
1416504384384288323,127
1416504384408001475,132
1416504384428522528,129
1416504384450264343,128
1416504384473407192,128
1416504384494060281,127
1416504384518090273,131
1416504384538615567,131
1416504384561114206,131
1416504384584255116,124
1416504384604262550,127
1416504384629084108,131
1416504384649481567,128
1416504384670546798,128
1416504384694777767,133
1416504384714796107,129
1416504384739558470,132
1416504384760660068,133
1416504384780411063,128
1416504384805147192,129
1416504384825565152,127
1416504384850117935,130
1416504384870452702,131
1416504384891324054,129
1416504384915790607,126
1416504384936693677,128
1416504384956494073,127
1416504384980807769,132
1416504385001506631,131
1416504385026247094,131
1416504385046475435,128
1416504385067417638,128
1416504385091595812,127
1416504385112966631,131
1416504385133015661,134
1416504385157485050,133
1416504385177905797,128
1416504385202426206,127
1416504385222952357,132
1416504385243594555,132
1416504385267621707,127
1416504385288796267,127
1416504385312700736,132
1416504385333895782,131
1416504385353727330,128
1416504385378468404,126
1416504385399172527,131
1416504385419750931,132
1416504385444227521,127
1416504385464953109,128
1416504385489269038,123
1416504385509108134,134
1416504385530302543,131
1416504385554436031,127
1416504385574763421,127
1416504385595919153,127
1416504385619772076,128
1416504385641157904,128
1416504385665206425,126
1416504385685786422,136
1416504385706263531,129
1416504385730829148,127
1416504385751342044,128
1416504385771975041,127
1416504385795966334,132
1416504385816209416,130
1416504385841424866,126
1416504385861866855,127
1416504385883037576,127
1416504385906923669,131
1416504385927492877,134
1416504385947989300,131
1416504385972625211,128
1416504385992662690,133
1416504386017392564,134
1416504386037560588,132
1416504386058421702,131
1416504386083356295,130
1416504386103601494,131
1416504386128215546,127
1416504386148685038,126
1416504386169187550,132
1416504386193222560,132
1416504386214154505,127
1416504386234750939,130
1416504386259153342,128
1416504386279701653,133
1416504386304726821,133
1416504386324745662,129
1416504386345990952,132
1416504386369574659,126
1416504386390297009,126
1416504386410841872,123
1416504386434896702,129
1416504386455505329,130
1416504386481512297,127
1416504386500896425,128
1416504386522588812,128
1416504386545858278,126
1416504386566374075,128
1416504386587649959,127
1416504386611145011,128
1416504386632396184,127
1416504386656682227,128
1416504386677071522,131
1416504386701102038,129
1416504386721648198,131
1416504386742473938,126
1416504386767003719,128
1416504386787511643,128
1416504386811994708,128
1416504386832568751,128
1416504386852699672,132
1416504386877590200,126
1416504386898479283,128
1416504386918695426,128
1416504386943156491,131
1416504386963682686,131
1416504386987576943,127
1416504387008991842,133
1416504387028801864,123
1416504387053659193,129
1416504387074125810,128
1416504387094776891,136
1416504387119300449,132
1416504387139791750,130
1416504387164354080,130
1416504387185066277,133
1416504387204949330,129
1416504387229855008,124
1416504387250320806,127
1416504387270881901,130
1416504387295421514,132
1416504387315687460,130
1416504387339887002,128
1416504387361259581,122
1416504387381548744,131
1416504387405929954,130
1416504387426490477,132
1416504387450595736,132
1416504387471520841,132
1416504387491681403,130
