%time,field
1416503803589538263,564
1416503803610582955,565
1416503803634572385,558
1416503803655865568,563
1416503803676277239,559
1416503803700974680,565
1416503803721185636,563
1416503803745704908,561
1416503803765850111,560
1416503803786327265,565
1416503803811252833,559
1416503803831722520,559
1416503803855899214,561
1416503803876647490,560
1416503803896926851,562
1416503803921739152,563
1416503803942146112,565
1416503803962486472,566
1416503803987389990,560
1416503804007902640,559
1416503804032546379,560
1416503804053299313,560
1416503804073571433,564
1416503804097952657,564
1416503804118439799,569
1416503804139099818,559
1416503804163449621,561
1416503804183997591,561
1416503804208547643,564
1416503804229016363,561
1416503804249669496,560
1416503804274033517,565
1416503804294534615,567
1416503804315228400,561
1416503804339657669,562
1416503804360171897,560
1416503804384287721,560
1416503804405296449,563
1416503804425376845,565
1416503804449855124,562
1416503804470695406,564
1416503804494961655,561
1416503804515694318,563
1416503804536505169,560
1416503804560490087,561
1416503804581664449,560
1416503804601909964,565
1416503804626401829,572
1416503804646796602,559
1416503804671028620,559
1416503804691813745,560
1416503804712584765,561
1416503804736918793,565
1416503804757369939,561
1416503804778003667,560
1416503804802089167,569
1416503804822926718,561
1416503804847262519,560
1416503804867552014,560
1416503804888158050,560
1416503804913323677,561
1416503804933912935,561
1416503804954098123,562
1416503804978592218,567
1416503804999207655,563
1416503805023614109,559
1416503805044159361,561
1416503805065833587,560
1416503805088616361,561
1416503805109265118,560
1416503805133939813,564
1416503805154202496,561
1416503805175214407,562
1416503805199665014,564
1416503805219878842,564
1416503805241109127,564
1416503805265415117,563
1416503805285715295,565
1416503805310025068,568
1416503805330408017,569
1416503805351797780,562
1416503805375674201,562
1416503805396598959,560
1416503805422046074,561
1416503805441324392,564
1416503805461884357,562
1416503805485965459,561
1416503805506896276,559
1416503805531344212,561
1416503805551887481,561
1416503805572996136,562
1416503805597705905,560
1416503805617518438,561
1416503805637898818,566
1416503805662346509,565
1416503805682957707,559
1416503805707383863,559
1416503805727531786,561
1416503805748437742,561
1416503805772744814,561
1416503805793588924,562
1416503805818176221,561
1416503805838309205,563
1416503805858752362,563
1416503805883650182,563
1416503805903812689,564
1416503805924523874,563
1416503805948860998,563
1416503805969687133,563
1416503805994250575,568
1416503806014698012,562
1416503806034997810,559
1416503806059388847,561
1416503806080340481,564
1416503806101299205,561
1416503806125352643,561
1416503806145800636,562
1416503806170299167,564
1416503806190610551,558
1416503806211087730,560
1416503806235866084,560
1416503806256436746,561
1416503806276979919,561
1416503806301879333,562
1416503806321754744,569
1416503806346339194,561
1416503806366735114,560
1416503806387277722,561
1416503806411996471,561
1416503806432635497,563
1416503806456726354,563
1416503806477972535,560
1416503806498285864,565
1416503806522608491,558
1416503806542903594,559
1416503806563707056,559
1416503806588258782,563
1416503806608348821,560
1416503806633156830,562
1416503806653814965,562
1416503806674316680,568
1416503806698287665,561
1416503806718777894,562
1416503806739544509,564
1416503806764286571,561
1416503806784927371,560
1416503806808815839,560
1416503806829361684,560
1416503806850505544,563
1416503806874531373,567
1416503806895116151,559
1416503806915682788,562
1416503806939907964,560
1416503806960916573,562
1416503806985375243,561
1416503807005813725,566
1416503807026587651,558
1416503807050881042,565
1416503807071104617,563
1416503807092243906,560
1416503807116557341,561
1416503807137037620,561
1416503807161115075,562
1416503807182020078,566
1416503807203188148,562
1416503807227054496,561
1416503807247428788,560
1416503807272326733,560
1416503807292849135,560
1416503807317285464,560
1416503807337386241,561
1416503807358017208,561
1416503807382584785,559
1416503807402831372,561
1416503807423344227,560
1416503807448174594,562
1416503807468468273,563
1416503807493864450,564
1416503807513435007,569
1416503807533877603,564
1416503807558793815,564
1416503807579428882,562
1416503807599437455,563
1416503807624183892,560
1416503807645187819,561
1416503807669386010,562
1416503807689472634,563
1416503807709960468,558
1416503807734855992,562
1416503807754989743,561
1416503807775608193,564
1416503807800153164,565
1416503807821444974,564
1416503807845669282,565
1416503807866080568,572
1416503807886581691,561
1416503807910810065,559
1416503807931523238,561
1416503807956170391,561
1416503807976127642,562
1416503807997497043,561
1416503808021677267,565
1416503808041816836,568
1416503808062488662,559
1416503808086925041,561
1416503808107281186,560
1416503808132263192,557
1416503808152691240,564
1416503808173789351,565
1416503808197839265,563
1416503808217732908,562
1416503808238829931,560
1416503808262995628,562
1416503808283802730,561
1416503808308280508,560
1416503808328807836,563
1416503808350035245,560
1416503808373321433,565
1416503808394054046,558
1416503808414787637,559
1416503808439157290,560
1416503808460060384,563
1416503808484329540,560
1416503808504652761,562
1416503808525104853,561
1416503808549542726,565
1416503808570450276,559
1416503808594881102,559
1416503808615299433,561
1416503808635786676,564
1416503808661327097,563
1416503808680886181,561
1416503808701912785,561
1416503808726028859,559
1416503808746590740,562
1416503808771124636,559
1416503808791253912,564
1416503808812265246,564
1416503808837063060,564
1416503808856914567,565
1416503808877724966,566
1416503808905581444,555
1416503808922401518,560
1416503808946731722,561
1416503808967769837,561
1416503808989739252,562
1416503809013397694,564
1416503809033365465,566
1416503809054242455,568
1416503809077864720,564
1416503809098757145,563
1416503809123085109,556
1416503809143835412,560
1416503809164977608,563
1416503809189375686,563
1416503809209437564,564
1416503809233558790,563
1416503809254000649,562
1416503809278860237,564
1416503809298959651,563
1416503809320322642,561
1416503809344381882,561
1416503809365294533,562
1416503809385571183,566
1416503809410006761,556
1416503809430126531,559
1416503809454574787,559
1416503809475551208,560
1416503809496209026,563
1416503809520182672,564
1416503809540726352,565
1416503809561690211,561
1416503809585785857,559
1416503809606497838,562
1416503809631027980,560
1416503809651710820,564
1416503809672177857,563
1416503809696721154,560
1416503809717590797,561
1416503809737477383,568
1416503809761792438,563
1416503809782776661,559
1416503809807063702,562
1416503809827754120,562
1416503809848252016,563
1416503809872850869,560
1416503809894425089,566
1416503809917807645,566
1416503809938213929,559
1416503809958722142,559
1416503809982798202,563
1416503810003955718,563
1416503810024600783,560
1416503810048645194,562
1416503810069639510,566
1416503810093669118,561
1416503810114454987,559
1416503810135002230,564
1416503810159321163,563
1416503810180070534,562
1416503810200805833,560
1416503810225085648,561
1416503810246016861,564
1416503810269982544,558
1416503810290609233,561
1416503810311249952,560
1416503810335302187,561
1416503810356320382,560
1416503810376894135,561
1416503810401174906,560
1416503810421317844,568
1416503810446189056,561
1416503810466751426,563
1416503810486909006,563
1416503810511513747,560
1416503810532393667,561
