%time,field
1416503922179641063,369
1416503922200389633,363
1416503922221707527,368
1416503922245053375,368
1416503922265944744,368
1416503922286096711,368
1416503922311004923,369
1416503922331830278,368
1416503922356405748,370
1416503922376678755,366
1416503922396711773,366
1416503922421295796,366
1416503922442006841,367
1416503922462242097,368
1416503922487124542,369
1416503922507872536,368
1416503922532439540,370
1416503922552628567,368
1416503922572969884,365
1416503922597704253,366
1416503922618282181,367
1416503922638295391,368
1416503922663217825,368
1416503922684050425,368
1416503922708540866,366
1416503922728832861,364
1416503922749229498,366
1416503922773890627,367
1416503922794366508,368
1416503922818885069,369
1416503922839376701,369
1416503922860339335,370
1416503922884165591,365
1416503922904614746,366
1416503922925626910,367
1416503922949976899,368
1416503922970047327,368
1416503922995083861,367
1416503923014912515,365
1416503923036173336,366
1416503923060802888,367
1416503923080664863,368
1416503923101447249,367
1416503923125773439,368
1416503923146610218,367
1416503923170569208,368
1416503923191303547,370
1416503923213290949,365
1416503923236280090,366
1416503923257175291,366
1416503923277849777,366
1416503923301754187,363
1416503923322756521,369
1416503923347240538,367
1416503923367632590,373
1416503923389368280,363
1416503923412311791,366
1416503923433316117,366
1416503923457786789,366
1416503923478294156,367
1416503923502684652,367
1416503923523363091,370
1416503923543593703,370
1416503923567881140,368
1416503923588795731,364
1416503923609415213,368
1416503923633831174,365
1416503923654375292,363
1416503923678867563,367
1416503923699039656,370
1416503923719495266,365
1416503923744449249,364
1416503923764687733,367
1416503923785594685,365
1416503923809587545,367
1416503923830498477,368
1416503923854716186,368
1416503923875875957,368
1416503923896199959,368
1416503923920057327,365
1416503923940816981,363
1416503923961658125,367
1416503923985641383,368
1416503924007984711,369
1416503924031106662,373
1416503924052167699,364
1416503924072011905,366
1416503924096300927,368
1416503924116764038,368
1416503924141669595,363
1416503924162232529,367
1416503924182682186,368
1416503924207238156,370
1416503924228017751,363
1416503924248483765,366
1416503924272901542,367
1416503924296816215,367
1416503924317642099,367
1416503924338376952,367
1416503924358746052,366
1416503924382908426,366
1416503924403514141,366
1416503924424580826,367
1416503924448631201,367
1416503924469427454,367
1416503924493957741,368
1416503924514452129,368
1416503924535147072,371
1416503924559473171,361
1416503924580289720,364
1416503924600787451,366
1416503924625094172,366
1416503924645070000,367
1416503924670006388,368
1416503924690807164,368
1416503924711222816,368
1416503924735644706,364
1416503924755943392,364
1416503924780888920,367
1416503924801190376,367
1416503924821796252,367
1416503924846191117,367
1416503924866692592,374
1416503924886879784,368
1416503924911290425,368
1416503924932179081,366
1416503924956504687,366
1416503924976609304,367
1416503924997822121,365
1416503925021929967,367
1416503925042850962,372
1416503925063503473,367
1416503925087521726,365
1416503925107875631,366
1416503925132997453,365
1416503925153398911,367
1416503925174308165,367
1416503925198057863,367
1416503925218571209,369
1416503925239554094,368
1416503925263647788,367
1416503925284985857,366
1416503925309163485,366
1416503925329088288,365
1416503925351192810,368
1416503925374519385,366
1416503925395199409,364
1416503925419814471,366
1416503925439662597,368
1416503925464150439,366
1416503925485135263,368
1416503925505714082,367
1416503925530076680,368
1416503925550724416,372
1416503925571382806,362
1416503925596941959,364
1416503925616217135,368
1416503925640366038,366
1416503925661294936,369
1416503925681837694,367
1416503925705838907,367
1416503925726786397,367
1416503925747446942,365
1416503925771480274,369
1416503925791858348,366
1416503925816737266,367
1416503925837211543,365
1416503925857515134,369
1416503925881939918,367
1416503925902610475,371
1416503925924373673,365
1416503925947695728,366
1416503925968576843,367
1416503925992961700,367
