%time,field.ch1,field.ch2,field.ch3,field.ch4,field.ch5,field.ch6,field.ch7,field.ch8
1413813773256795889,380,70,25,145,185,314,262,236
1413813773359289679,534,45,73,95,145,223,230,229
1413813773457633954,532,60,56,78,129,182,205,216
1413813773559785749,536,90,96,84,130,165,188,204
1413813773662597795,415,76,45,62,118,150,174,192
1413813773764884892,536,57,88,45,110,141,165,182
1413813773867152460,528,59,197,62,117,142,164,180
1413813773969543843,532,55,11,118,142,154,168,181
1413813774071956779,385,58,78,96,139,156,169,181
1413813774173947274,522,64,59,77,132,153,169,182
1413813774276352087,525,75,22,154,190,317,265,242
1413813774378742633,532,38,61,3,100,197,217,223
1413813774477964773,442,55,80,88,119,172,196,212
1413813774580251324,568,75,92,103,134,164,186,201
1413813774683421211,525,99,68,18,97,137,166,186
1413813774784840802,539,55,48,70,116,142,164,180
1413813774886721647,499,69,76,83,121,144,164,178
1413813774989082652,566,55,2,62,114,139,160,175
1413813775091866234,521,55,49,60,117,141,160,174
1413813775194334436,535,67,81,95,137,151,167,178
1413813775296614962,538,79,100,102,166,304,256,234
1413813775398907411,512,47,85,65,125,209,221,222
1413813775501443828,531,58,85,98,134,181,202,213
1413813775603837601,529,39,171,79,126,162,186,201
1413813775706192842,552,75,77,8,90,135,164,185
1413813775808615406,541,63,74,56,109,137,160,179
1413813775910923495,560,71,139,54,109,136,158,175
1413813776013289436,517,52,4,169,167,168,176,184
1413813776115682397,553,63,81,93,147,163,176,185
1413813776218081553,524,52,74,102,145,162,177,188
1413813776317315890,517,85,67,117,174,310,263,241
1413813776419147896,486,63,57,70,130,214,225,228
1413813776525145337,587,50,82,86,129,181,203,215
1413813776623699853,528,56,168,86,130,164,189,204
1413813776725967752,518,87,49,82,127,154,176,193
1413813776828400859,499,64,76,105,152,165,180,193
1413813776930741873,581,65,86,77,134,156,175,188
1413813777033174144,521,62,6,142,161,170,181,190
1413813777135540986,533,46,62,78,137,159,175,188
1413813777237878527,483,46,84,90,161,302,257,234
1413813777340330487,560,78,36,151,168,236,239,236
1413813777442653535,526,71,85,48,120,178,205,217
1413813777545065280,533,42,53,97,134,167,189,205
1413813777643631523,412,42,65,74,128,154,178,193
1413813777746006414,547,63,57,14,94,133,161,181
1413813777848387689,529,63,48,83,122,143,163,179
1413813777950758305,533,67,77,78,127,147,164,178
1413813778053627228,402,63,2,102,138,152,167,179
1413813778155577794,570,59,89,105,145,160,173,183
1413813778257762078,529,59,76,111,171,307,262,237
1413813778359822953,529,79,21,83,130,213,225,227
1413813778463169244,368,67,67,50,111,170,197,210
1413813778564767419,548,43,65,64,115,153,180,197
1413813778666995502,525,56,180,81,124,151,174,190
1413813778769696627,528,39,61,2,84,125,154,176
1413813778872116279,377,63,80,109,136,148,166,178
1413813778974493349,545,62,60,111,144,157,171,182
1413813779076979642,554,67,45,138,164,170,179,187
1413813779175408319,533,65,50,65,132,156,173,184
1413813779277781015,374,54,70,86,156,299,255,235
1413813779380207552,536,47,85,125,153,226,232,231
1413813779482450955,580,99,76,12,97,164,194,209
1413813779584444822,525,64,84,81,122,157,182,198
1413813779687237876,368,55,112,96,133,155,176,191
1413813779789601085,536,35,40,18,96,132,160,179
1413813779891946236,519,56,79,69,116,140,161,177
1413813779994336118,522,61,110,109,138,153,168,180
1413813780096423527,378,67,17,150,165,169,178,186
1413813780199144201,542,64,65,108,152,167,179,188
1413813780301475397,524,66,94,112,172,310,264,241
1413813780403889773,557,46,82,65,127,213,226,228
1413813780506194985,398,79,70,35,103,168,194,209
1413813780608619764,535,59,61,67,115,154,180,197
1413813780711038619,521,62,112,65,115,145,170,187
1413813780809194422,527,41,31,1,83,123,154,174
1413813780912016752,407,70,93,109,134,148,164,177
1413813781014221041,536,53,49,109,143,156,170,180
1413813781116636724,514,75,44,134,161,168,178,185
1413813781218983656,520,59,68,56,126,152,170,182
1413813781321394684,482,59,94,87,155,298,254,235
1413813781423760624,518,38,44,96,135,215,224,226
1413813781526044854,540,89,93,70,123,176,199,212
1413813781628610763,502,66,57,86,128,162,185,201
1413813781730844068,543,92,121,79,128,155,177,192
1413813781829942437,546,53,44,40,102,136,162,180
1413813781935594090,526,57,76,62,113,139,161,177
1413813782033961437,466,47,92,98,133,148,168,178
1413813782136654905,615,53,38,144,162,168,178,185
1413813782238726147,533,64,60,107,172,308,260,236
1413813782340957613,526,60,82,110,150,226,233,231
1413813782443266263,447,47,108,163,174,210,222,226
1413813782545630890,605,51,74,13,105,157,187,205
1413813782648409546,564,63,48,65,118,150,173,193
1413813782750745885,512,76,73,63,118,143,167,185
1413813782853057908,384,63,9,0,85,124,152,171
1413813782955392271,594,51,69,108,135,148,166,177
1413813783057902489,516,63,116,112,147,158,171,181
1413813783160280667,532,55,21,104,142,158,172,182
