%time,field.ch1,field.ch2,field.ch3,field.ch4,field.ch5,field.ch6,field.ch7,field.ch8
1413813668801102918,159,138,177,166,192,204,212,221
1413813668903165554,122,168,183,168,192,202,211,217
1413813669005911828,210,151,174,157,185,196,207,215
1413813669108242178,157,123,193,165,211,337,287,262
1413813669210677165,164,139,198,169,191,259,260,256
1413813669313055408,154,143,137,252,231,254,256,256
1413813669415387146,167,166,171,157,197,222,236,245
1413813669517790571,199,122,199,173,196,212,225,234
1413813669620170909,161,138,179,174,194,206,217,227
1413813669722396997,162,131,171,157,185,198,210,220
1413813669825125149,163,124,208,174,191,201,210,218
1413813669927043379,161,135,167,173,195,202,209,217
1413813670025485952,159,126,138,252,238,227,224,225
1413813670128956080,97,135,174,166,219,346,296,269
1413813670234413758,164,124,200,162,192,264,265,262
1413813670333030360,158,138,184,162,184,227,242,249
1413813670435497154,194,128,172,173,190,213,228,239
1413813670537675560,148,135,181,172,194,207,219,230
1413813670640118134,160,167,168,173,195,205,215,224
1413813670742353022,161,142,150,248,236,227,226,229
1413813670844938715,159,122,176,165,198,210,217,223
1413813670947344526,160,139,192,169,195,206,214,223
1413813671049749916,127,178,209,178,198,206,213,219
1413813671152001998,157,144,167,169,214,340,290,265
1413813671254294196,160,135,199,175,196,263,264,261
1413813671352963418,161,126,180,166,187,228,242,249
1413813671455279024,91,191,118,247,231,237,243,246
1413813671557616666,165,138,181,162,197,215,226,235
1413813671659876619,159,136,175,170,196,208,219,228
1413813671762381596,160,127,208,190,205,211,218,226
1413813671864824210,129,187,165,156,187,200,210,219
1413813671967125955,164,125,208,165,187,198,208,215
1413813672073626155,157,142,183,166,210,338,287,261
1413813672171805667,159,121,136,234,225,278,272,265
1413813672274298686,87,173,185,166,195,236,248,251
1413813672376642631,168,127,176,169,193,217,232,240
1413813672478751464,159,143,188,228,224,227,236,239
1413813672581445147,160,128,180,160,194,209,221,229
1413813672683798464,107,147,189,168,193,204,216,224
1413813672786403361,208,130,188,165,194,202,212,220
1413813672884756506,159,134,129,211,214,211,217,224
1413813672987626674,161,135,208,152,189,202,211,218
1413813673089163355,152,131,169,164,209,338,289,263
1413813673191362111,166,140,209,238,230,283,276,266
1413813673294122075,207,126,181,162,193,235,249,253
1413813673396499481,159,143,197,170,192,217,232,242
1413813673498858846,159,134,199,164,191,208,222,233
1413813673601288952,163,156,110,185,198,207,217,226
1413813673703617303,210,130,201,157,186,200,211,220
1413813673805642105,164,140,182,164,187,199,208,217
1413813673908407671,160,124,208,172,193,201,208,215
1413813674010804616,163,179,176,161,186,197,206,215
1413813674113215584,160,126,209,165,212,338,287,261
1413813674211647092,164,146,188,172,189,257,259,256
1413813674314042173,163,123,136,166,188,225,238,244
1413813674416634436,127,210,185,160,186,209,224,234
1413813674518770516,168,127,176,169,188,203,216,226
1413813674621093398,203,143,177,173,190,200,211,220
1413813674723498813,164,127,173,164,186,195,207,216
1413813674825780588,84,187,180,171,191,199,207,215
1413813674928269763,168,135,187,166,189,198,206,213
1413813675030621566,159,144,112,165,185,195,204,211
1413813675133014302,162,135,204,159,207,335,285,260
1413813675235354228,103,143,180,164,185,255,257,254
1413813675337813315,168,150,209,192,195,230,241,246
1413813675440141750,159,139,176,163,184,209,225,236
1413813675542479792,160,128,208,165,187,203,216,227
1413813675644958393,163,138,205,165,187,199,210,220
1413813675743482827,164,199,112,155,179,192,203,214
1413813675845787292,163,133,202,166,187,195,205,213
1413813675948255104,161,140,185,166,188,196,205,212
