%time,field.ch1,field.ch2,field.ch3,field.ch4,field.ch5,field.ch6,field.ch7,field.ch8
1413813618667214944,328,341,370,365,355,343,333,329
1413813618771968643,330,333,369,367,358,343,332,327
1413813618874467909,322,335,362,371,357,344,331,326
1413813618973402086,329,335,371,372,358,344,331,325
1413813619075563042,327,346,367,369,373,457,397,364
1413813619178191798,331,341,374,367,357,396,379,362
1413813619280636477,318,349,368,366,353,369,363,356
1413813619382979841,330,338,370,368,354,355,351,347
1413813619485267228,334,350,370,370,357,349,344,340
1413813619587696587,331,332,357,367,355,345,336,334
1413813619689900977,323,347,368,367,355,344,333,330
1413813619792453535,327,344,367,370,354,343,331,327
1413813619894727602,330,333,376,368,356,343,330,325
1413813619997134600,328,345,366,366,373,456,396,363
1413813620099597476,367,335,369,368,357,396,379,363
1413813620201523734,330,343,367,368,355,369,364,356
1413813620300995555,329,346,349,366,353,355,351,348
1413813620404269659,324,333,368,365,353,347,343,340
1413813620505105827,332,345,365,370,352,343,337,333
1413813620607171296,330,335,376,368,355,342,334,329
1413813620709990188,330,350,362,366,354,341,331,326
1413813620812223889,318,334,369,367,354,342,329,324
1413813620914658460,332,346,368,368,363,346,331,325
1413813621016996416,369,337,350,367,377,457,396,361
1413813621119401882,330,336,368,366,360,399,380,363
1413813621221811972,318,335,368,371,353,370,364,356
1413813621324120216,329,345,368,368,353,354,352,348
1413813621426633496,329,344,356,366,354,348,342,340
1413813621528991869,330,333,370,365,353,344,336,334
1413813621631382124,330,346,368,367,355,343,332,329
1413813621733713998,329,334,360,367,355,342,331,326
1413813621832383650,328,350,368,365,355,341,329,324
1413813621934761618,368,341,368,373,354,341,328,323
1413813622037758047,329,344,368,367,375,459,398,364
1413813622139252587,331,343,353,368,357,396,379,362
1413813622241332986,329,333,367,364,352,368,363,356
1413813622344019693,329,344,366,366,352,355,350,347
1413813622446345648,333,333,365,366,352,347,341,339
1413813622549094371,330,344,365,365,353,343,335,333
1413813622651129386,327,335,366,367,354,342,333,329
1413813622753565581,321,337,366,366,355,341,330,326
1413813622855877283,367,335,349,366,355,341,329,323
1413813622958300162,330,334,367,360,352,340,330,322
1413813623060617272,328,350,368,364,371,455,395,362
1413813623159242464,319,345,373,363,353,394,377,361
1413813623261732902,367,340,368,363,350,367,361,353
1413813623363901560,330,331,369,364,350,352,348,345
1413813623466186546,330,339,367,369,350,345,340,337
1413813623568795222,334,342,352,369,354,343,334,332
1413813623670985489,325,335,365,369,353,341,331,327
1413813623773452518,332,346,367,369,354,342,330,325
1413813623875727342,330,335,370,367,354,341,329,324
1413813623978190242,330,350,360,364,354,341,328,322
1413813624080661948,327,334,368,370,371,454,396,360
1413813624182884347,332,350,366,367,357,395,377,361
1413813624285338172,320,353,361,367,353,368,362,354
1413813624387674129,331,332,366,364,351,353,349,346
1413813624489792664,331,347,367,367,353,348,341,338
1413813624592515383,330,333,371,366,353,343,335,334
1413813624694901138,360,346,355,366,354,342,332,328
1413813624797334742,328,333,368,371,352,340,329,325
1413813624899646730,325,340,365,366,355,340,329,323
1413813624998137512,328,344,367,366,372,455,395,362
1413813625100546500,366,334,366,364,355,395,377,361
1413813625202857626,331,337,366,368,353,369,363,355
1413813625305111207,331,341,367,372,352,354,349,347
1413813625407582316,330,347,356,367,353,347,341,339
1413813625509881745,332,334,369,370,355,344,334,333
1413813625612382281,331,350,367,368,356,343,333,329
1413813625714751564,331,333,370,366,355,343,331,326
1413813625817121618,321,345,365,365,354,341,329,324
1413813625919628493,332,342,365,366,356,341,329,323
1413813626021750375,367,336,366,366,373,455,395,361
1413813626124197394,329,343,354,367,358,396,379,362
1413813626222818071,318,335,368,367,355,370,364,356
1413813626325130059,333,348,366,366,352,355,351,347
1413813626427581433,330,335,369,365,353,347,341,338
1413813626529841939,369,346,364,365,352,343,335,332
1413813626632168716,330,351,364,367,354,342,332,328
1413813626734562830,330,343,365,366,354,341,330,325
1413813626837047500,332,352,359,367,355,341,329,324
1413813626939302799,330,332,366,370,353,340,328,322
1413813627041631996,332,348,367,367,373,455,394,361
1413813627143989041,330,336,372,366,357,396,378,361
