%time,field.ch1,field.ch2,field.ch3,field.ch4,field.ch5,field.ch6,field.ch7,field.ch8
1413813755387345082,108,75,102,84,132,214,225,228
1413813755489520448,91,63,56,44,106,166,194,209
1413813755592508509,88,74,70,117,141,167,188,202
1413813755694675699,61,108,93,104,142,163,182,196
1413813755797081634,115,83,4,121,151,165,181,193
1413813755899487510,99,65,94,69,129,154,173,188
1413813755997811991,95,82,62,106,142,159,174,186
1413813756100423077,96,63,82,86,135,156,173,186
1413813756202390529,101,127,7,30,127,282,245,227
1413813756304935244,92,71,101,89,125,206,218,220
1413813756407394336,95,79,93,61,114,169,193,208
1413813756509694863,129,33,35,110,134,163,183,198
1413813756612012434,75,128,80,84,131,157,177,192
1413813756714682548,100,75,61,82,129,153,172,186
1413813756816994466,95,78,36,154,166,171,183,191
1413813756919341489,92,62,105,28,112,145,167,182
1413813757018127129,51,102,92,105,140,156,172,183
1413813757124100130,111,58,93,194,189,185,190,193
1413813757226886749,92,86,107,78,165,308,264,240
1413813757325091788,87,71,102,74,132,216,228,230
1413813757428379833,19,55,128,58,116,173,200,215
1413813757529728298,91,56,64,18,93,142,174,194
1413813757632185405,96,70,104,104,131,153,174,190
1413813757734599535,89,58,88,137,156,166,180,190
1413813757836813285,83,56,47,145,166,175,186,193
1413813757938853477,80,96,31,58,131,155,174,188
1413813758041804644,92,71,101,73,128,152,171,185
1413813758143958383,93,58,140,114,145,161,176,188
1413813758246014266,85,41,116,36,129,284,246,229
1413813758348689632,93,123,71,112,141,215,223,225
1413813758450744403,150,80,148,85,131,180,202,213
1413813758553306207,89,59,11,38,102,147,176,195
1413813758652187589,87,46,91,98,129,152,174,190
1413813758757815012,36,89,117,83,128,151,171,185
1413813758856695598,119,68,52,173,175,177,184,191
1413813758959143584,88,68,109,80,141,162,178,189
1413813759061518810,96,67,96,133,161,172,183,192
1413813759163818064,21,55,109,126,160,171,186,194
1413813759266371089,100,71,53,113,178,314,267,244
1413813759368671290,96,65,65,105,150,228,236,236
1413813759470989898,95,79,92,106,145,192,213,223
1413813759573278624,53,38,35,115,147,177,197,211
1413813759675737910,95,75,65,41,112,150,177,196
1413813759778149384,89,58,129,112,142,160,177,192
1413813759880515400,137,67,22,179,183,184,190,197
1413813759982821174,92,59,88,65,135,161,178,191
1413813760085328524,61,120,120,78,132,156,175,188
1413813760184151314,88,59,109,143,162,172,183,192
1413813760286698781,92,64,97,71,152,299,256,237
1413813760389462513,132,87,126,73,127,211,223,227
1413813760491048561,11,135,113,121,146,189,207,218
1413813760597166595,100,68,44,60,115,157,183,201
1413813760695684985,99,62,102,53,112,146,172,190
1413813760798044350,95,62,115,74,120,145,167,183
1413813760900400092,60,85,2,130,148,159,173,184
1413813761002407455,124,80,93,106,160,169,180,188
1413813761104719368,104,67,106,81,139,161,177,188
1413813761207505130,101,80,104,137,185,316,268,240
1413813761309870845,80,66,91,93,144,224,232,231
1413813761412402270,128,79,30,86,135,185,208,218
1413813761514721189,103,78,160,70,124,163,188,204
1413813761616953586,109,84,2,161,165,177,191,202
1413813761715562557,99,32,121,44,119,151,173,190
1413813761818013560,153,68,61,103,138,158,174,188
1413813761920408140,103,71,65,166,175,178,186,194
1413813762022694686,99,95,94,74,137,160,178,190
1413813762125044705,100,42,84,61,120,147,169,183
1413813762227331371,103,94,97,42,131,284,246,228
1413813762329759457,159,70,85,114,138,213,222,223
1413813762432176122,103,78,97,98,136,182,203,213
1413813762534514119,99,59,56,102,134,166,187,202
1413813762637330069,100,131,18,128,153,169,187,199
1413813762739046312,108,63,77,62,125,153,174,190
1413813762841708178,100,86,81,94,134,156,173,187
1413813762944033917,108,67,7,139,158,167,179,189
1413813763046048581,44,151,77,79,134,158,175,186
1413813763149191252,100,71,113,98,141,160,176,187
1413813763251268995,146,87,137,112,172,308,262,239
1413813763349919990,108,83,73,57,123,210,223,226
1413813763452155815,20,142,120,101,140,184,205,216
1413813763554465644,133,73,80,104,139,169,191,205
1413813763656869881,102,78,29,111,143,164,183,197
1413813763759171405,112,59,72,56,122,151,173,189
1413813763861597281,16,97,87,96,134,154,172,186
1413813763963968273,127,60,121,93,134,153,171,183
1413813764066308635,100,90,93,50,112,141,163,178
