%time,field.ch1,field.ch2,field.ch3,field.ch4,field.ch5,field.ch6,field.ch7,field.ch8
1413813649506343892,162,200,215,193,207,219,229,239
1413813649608798553,245,158,226,254,243,237,238,241
1413813649706831387,195,171,211,188,215,223,229,236
1413813649809235153,196,154,234,197,213,221,226,232
1413813649912045546,143,200,226,193,212,218,225,230
1413813650014218578,248,163,205,186,206,213,220,226
1413813650116795593,193,170,222,192,230,353,300,274
1413813650218999817,195,162,242,193,211,276,275,269
1413813650321443684,160,174,222,265,247,267,270,269
1413813650423915569,193,160,230,188,215,237,248,254
1413813650526208514,195,164,217,196,211,225,236,244
1413813650628599837,196,158,221,196,210,219,229,238
1413813650730961423,195,171,238,219,223,226,230,235
1413813650833005759,195,170,208,192,212,219,225,230
1413813650935811251,246,155,244,191,211,217,223,229
1413813651034189307,153,175,185,265,251,240,235,236
1413813651136783440,201,155,235,189,241,360,308,280
1413813651239033733,195,175,206,197,214,280,281,275
1413813651341344799,195,159,249,194,208,247,260,264
1413813651443708289,142,190,138,218,220,235,245,252
1413813651545991978,203,167,212,192,211,224,236,243
1413813651648520326,195,165,243,193,211,219,229,237
1413813651750759800,196,166,189,265,249,240,237,240
1413813651853908424,153,179,233,190,219,226,231,236
1413813651955326642,196,169,223,192,214,221,228,233
1413813652058020490,192,163,230,194,233,356,303,277
1413813652160394273,195,165,149,211,219,281,279,273
1413813652262461832,236,181,209,192,208,247,259,263
1413813652361090993,196,169,243,197,207,229,242,250
1413813652467140537,195,155,197,264,247,244,246,249
1413813652566020983,192,171,219,189,217,227,233,241
1413813652668513726,194,171,239,192,212,222,229,236
1413813652770790238,195,166,219,197,213,220,226,232
1413813652873141190,195,168,164,212,218,222,226,231
1413813652975523803,168,167,214,196,213,219,225,229
1413813653077899224,195,175,216,197,233,354,302,275
1413813653180239266,196,160,218,262,249,299,289,278
1413813653282621579,195,170,208,186,212,254,264,267
1413813653385054165,144,159,229,191,209,234,246,254
1413813653487409266,203,170,222,198,211,224,235,244
1413813653586045453,242,158,169,206,216,222,230,237
1413813653688480740,195,166,227,198,215,221,227,234
1413813653790719788,143,166,217,191,212,217,224,230
1413813653893030142,203,162,226,263,251,240,237,237
1413813653995394203,194,167,220,185,217,225,229,233
1413813654097823402,191,155,237,194,235,357,305,278
1413813654199760315,164,170,238,199,214,278,278,273
1413813654302565315,199,157,173,218,222,254,261,265
1413813654404928054,195,166,209,194,212,232,245,252
1413813654507317813,245,168,203,192,209,222,233,242
1413813654609671701,199,199,207,261,251,242,242,244
1413813654712083114,195,161,239,185,216,226,232,238
1413813654814512248,195,171,226,192,214,222,228,235
1413813654916938991,246,155,246,192,212,219,225,231
1413813655019170472,199,170,149,210,217,221,225,230
1413813655121663259,193,158,234,194,236,356,303,277
1413813655223807813,195,159,208,193,212,277,276,271
1413813655326379069,182,162,217,265,249,269,271,270
1413813655425025233,203,159,240,185,214,237,250,256
1413813655527265243,196,166,208,194,210,225,237,245
1413813655630027071,195,156,246,192,209,219,229,238
1413813655731975790,146,183,152,203,213,219,225,234
1413813655834334680,199,160,238,194,211,217,223,230
1413813655936705351,194,171,210,193,210,216,221,227
1413813656039160599,195,163,200,269,252,241,236,235
1413813656141469775,197,199,238,186,238,360,307,280
1413813656243725055,243,159,210,195,215,280,280,274
1413813656346266002,196,171,248,192,208,247,259,263
1413813656448604660,195,158,176,195,209,229,242,251
1413813656551021215,200,196,211,194,209,222,233,241
1413813656653277081,195,170,242,193,209,218,226,234
1413813656751897142,196,159,188,197,210,215,222,230
1413813656854265828,195,171,220,185,205,213,220,227
1413813656956616849,204,196,230,194,209,215,220,226
1413813657059009987,192,175,226,193,231,352,299,272
1413813657161584369,195,158,186,195,209,273,272,267
1413813657264361045,179,171,213,195,207,242,254,257
1413813657365737989,201,165,242,193,208,228,240,247
1413813657467975177,195,170,202,196,209,221,230,240
