%time,field.ch1,field.ch2,field.ch3,field.ch4,field.ch5,field.ch6,field.ch7,field.ch8
1413813738844761363,88,82,108,174,180,184,193,200
1413813738947623303,86,94,54,65,134,161,180,194
1413813739050041572,124,63,128,87,137,159,177,189
1413813739152078231,23,110,74,95,137,157,174,187
1413813739254598611,89,74,44,53,140,289,249,232
1413813739356759883,96,77,84,122,150,221,228,228
1413813739459453857,88,66,129,121,150,193,209,219
1413813739561842042,46,127,26,142,162,185,201,212
1413813739664217223,105,71,133,105,149,172,191,203
1413813739766644102,91,75,112,119,152,170,188,199
1413813739865267214,88,73,106,103,144,165,181,194
1413813739967568302,84,90,93,54,118,147,170,186
1413813740069842916,138,75,9,82,126,149,169,183
1413813740176197702,85,79,109,94,156,298,253,232
1413813740274723529,84,76,49,185,184,244,241,235
1413813740377079456,57,64,80,124,160,205,219,226
1413813740479413013,83,84,49,137,166,191,208,218
1413813740581841510,83,87,97,117,158,179,197,209
1413813740684145881,83,76,112,71,131,160,182,198
1413813740786544856,89,63,73,99,136,159,177,192
1413813740888855446,24,107,139,109,145,161,178,190
1413813740991274572,88,83,68,143,163,174,184,194
1413813741093731694,83,79,100,111,152,172,181,192
1413813741195651187,89,81,99,107,169,309,263,240
1413813741298452144,9,107,62,162,174,241,242,239
1413813741397101110,104,78,84,61,127,185,209,221
1413813741499274649,120,71,117,133,155,181,200,212
1413813741601660785,92,87,90,128,158,177,193,206
1413813741704017830,80,85,80,140,158,173,189,201
1413813741806343013,92,103,123,134,164,177,190,200
1413813741908801398,83,78,72,92,144,164,180,194
1413813742011145524,124,74,78,124,154,169,183,194
1413813742113555870,92,70,120,66,129,155,174,188
1413813742215914313,73,128,82,98,161,302,257,237
1413813742318396487,96,83,83,155,169,235,238,235
1413813742420787459,87,74,129,111,151,197,215,224
1413813742523072210,122,83,125,122,154,183,202,214
1413813742625135650,9,85,117,87,136,165,186,202
1413813742724179165,110,91,53,81,130,155,177,193
1413813742830146122,88,68,101,117,149,163,180,191
1413813742932566210,82,83,77,106,143,163,178,189
1413813743031112554,23,79,85,139,162,173,184,193
1413813743133658938,87,90,121,106,151,168,183,192
1413813743235758279,84,75,111,106,170,309,263,241
1413813743338134182,92,82,157,97,143,222,234,233
1413813743440164478,90,56,62,14,94,163,193,208
1413813743542504377,31,136,97,124,142,168,189,203
1413813743645244571,96,68,136,137,162,174,189,200
1413813743747837115,83,87,39,177,187,187,196,203
1413813743850130000,92,65,85,118,163,179,191,201
1413813743952350892,10,109,105,113,156,174,188,198
1413813744050488794,104,71,118,110,153,170,186,197
1413813744153335329,84,95,93,70,131,157,175,189
1413813744255608344,88,81,117,72,150,297,253,237
1413813744357995076,80,67,137,89,131,212,223,227
1413813744460574921,127,76,2,118,140,185,204,216
1413813744562684947,92,83,114,102,141,171,193,206
1413813744665116741,92,75,127,115,147,168,186,199
1413813744767555712,57,66,67,163,173,180,191,200
1413813744869919427,80,101,93,96,149,168,184,195
1413813744971965347,92,73,120,128,160,173,186,195
1413813745074797735,88,67,109,125,160,174,187,196
1413813745177071191,87,92,95,78,130,160,176,189
1413813745279536376,11,131,93,98,160,302,258,239
1413813745381832257,101,79,147,74,128,212,224,227
1413813745484161239,129,71,34,117,142,186,206,217
1413813745586630188,90,83,107,62,121,160,185,202
1413813745688970300,29,67,56,125,149,166,186,197
1413813745791421503,120,68,65,203,198,194,199,205
1413813745889993384,87,73,101,62,136,164,182,195
1413813745992389548,84,71,102,102,144,164,181,194
1413813746094587337,91,56,72,75,130,154,173,188
1413813746196762921,81,76,112,81,153,298,256,237
1413813746299421800,91,83,100,90,134,214,224,227
1413813746401714675,87,76,108,78,124,176,200,213
1413813746503931362,96,67,88,134,151,175,193,206
1413813746606050303,31,132,106,82,133,160,181,196
1413813746708835283,116,69,104,99,135,160,177,191
1413813746811162125,91,76,89,142,161,171,181,193
1413813746913555021,127,78,111,78,134,157,175,188
1413813747016029166,9,91,64,109,144,162,176,188
1413813747114247592,84,78,82,143,166,175,185,193
1413813747216975938,95,88,2,155,199,326,273,246
