%time,field.ch1,field.ch2,field.ch3,field.ch4,field.ch5,field.ch6,field.ch7,field.ch8
1413813724141739271,100,82,155,91,133,155,173,187
1413813724244210335,97,79,147,134,161,301,256,237
1413813724346544247,98,67,39,192,188,245,243,240
1413813724449037050,99,150,131,138,171,211,225,231
1413813724551164941,134,91,120,122,159,189,207,219
1413813724653653840,100,86,105,188,193,201,210,218
1413813724756043705,103,76,132,69,137,169,190,204
1413813724858490969,24,102,124,101,140,163,183,200
1413813724960883615,117,91,165,142,165,174,187,199
1413813725063207124,122,98,44,110,150,166,182,193
1413813725165622281,100,84,140,105,168,307,263,241
1413813725267906226,92,95,71,155,173,239,241,239
1413813725370394338,83,135,76,201,199,227,234,237
1413813725472850367,104,88,129,93,151,187,209,221
1413813725571386362,95,85,146,97,142,172,194,209
1413813725673793852,124,71,165,90,138,163,183,199
1413813725775644329,24,130,63,55,116,147,167,188
1413813725878362828,121,80,153,149,164,171,183,193
1413813725980852765,98,93,108,142,165,175,184,194
1413813726083087473,102,84,52,141,169,178,188,195
1413813726185493113,125,65,153,106,175,313,267,244
1413813726287933016,96,117,134,105,148,227,235,236
1413813726390149603,107,78,65,137,159,199,217,225
1413813726492701976,104,81,100,98,141,175,198,212
1413813726591756471,99,89,113,142,163,179,195,206
1413813726693938359,48,170,120,142,168,181,193,203
1413813726795918209,116,94,22,134,164,177,190,200
1413813726898201788,100,82,132,110,153,172,187,200
1413813727000635036,100,94,119,111,150,169,183,196
1413813727103030493,99,63,27,174,179,183,190,199
1413813727205332308,101,182,128,97,173,314,268,246
1413813727307742794,128,89,151,99,144,225,234,237
1413813727410029044,99,103,144,97,137,188,209,222
1413813727512527164,103,70,98,82,126,165,190,206
1413813727614786532,40,99,137,109,139,165,184,199
1413813727717225969,116,82,109,105,143,163,180,194
1413813727819663778,100,100,70,153,169,176,187,196
1413813727921650308,101,96,133,115,155,173,186,195
1413813728024473209,74,67,128,126,158,172,185,194
1413813728122893446,96,135,77,209,203,199,201,204
1413813728225407372,101,77,136,92,177,317,272,249
1413813728328252118,98,92,136,114,157,233,241,241
1413813728429819193,100,76,131,101,142,193,213,227
1413813728532423423,16,166,94,58,117,161,189,207
1413813728634685974,115,94,127,86,128,156,179,197
1413813728737159408,102,98,134,130,152,166,182,194
1413813728839485834,98,83,101,173,181,183,190,198
1413813728941873012,94,83,109,102,151,169,185,196
1413813729043853459,112,88,106,110,148,167,183,193
1413813729146765707,100,102,144,98,142,162,179,190
1413813729248898770,96,84,113,64,146,293,254,236
1413813729351019915,104,74,113,133,153,225,231,230
1413813729450025209,73,178,137,141,165,203,218,225
1413813729552264703,117,101,20,132,158,185,202,214
1413813729654672267,100,83,149,129,161,180,196,208
1413813729757203713,99,86,126,145,170,182,194,205
1413813729859125216,8,135,77,143,173,183,193,203
1413813729961343973,140,99,145,90,145,169,185,198
1413813730064044361,100,90,117,142,164,176,188,198
1413813730166486218,96,101,131,125,182,315,269,246
1413813730268980254,96,59,51,82,134,219,230,233
1413813730371363443,64,192,153,149,165,204,219,228
1413813730473681811,131,85,115,143,165,191,207,218
1413813730575890003,96,96,48,186,189,198,207,215
1413813730678556360,103,79,96,109,159,180,195,207
1413813730780933355,5,152,89,87,142,166,185,198
1413813730883261129,114,95,124,137,161,175,188,199
1413813730985361953,98,99,92,105,150,168,183,195
1413813731087963979,103,105,120,135,162,174,186,195
1413813731190374726,5,155,160,135,188,320,271,246
