%time,field
1416504361262939100,76
1416504361283956469,71
1416504361308332441,77
1416504361328507411,77
1416504361349566874,75
1416504361373459632,74
1416504361394405388,75
1416504361418885322,77
1416504361439112209,77
1416504361459987245,81
1416504361484525174,78
1416504361504467446,79
1416504361525564551,80
1416504361550066754,79
1416504361570569792,78
1416504361594671934,74
1416504361615716780,79
1416504361636319218,75
1416504361660219949,78
1416504361681479586,77
1416504361701477069,80
1416504361725805749,75
1416504361746570976,77
1416504361771027156,74
1416504361792176985,78
1416504361812209265,80
1416504361836902792,75
1416504361857362136,79
1416504361881283935,75
1416504361902241038,79
1416504361922576640,79
1416504361947559433,79
1416504361967838819,77
1416504361988562468,78
1416504362013357073,79
1416504362033288846,77
1416504362057456306,76
1416504362078403010,74
1416504362098621829,75
1416504362123417066,78
1416504362144007743,77
1416504362164605882,81
1416504362189039179,79
1416504362209362515,76
1416504362234017900,78
1416504362254111090,78
1416504362274935506,79
1416504362299548195,76
1416504362320495825,75
1416504362340317960,79
1416504362365091083,78
1416504362385171599,72
1416504362409732876,75
1416504362430199291,77
1416504362450865709,77
1416504362475333359,76
1416504362495994476,79
1416504362520393546,78
1416504362540809336,81
1416504362561422874,78
1416504362585807201,75
1416504362606408316,78
1416504362627202990,78
1416504362651409273,77
1416504362672375776,77
1416504362696386922,78
1416504362716884492,78
1416504362739000009,80
1416504362762323462,79
1416504362782594865,77
1416504362803161582,80
1416504362827680253,78
1416504362849232413,78
1416504362873194313,82
1416504362893009297,74
1416504362917840972,79
1416504362938159747,73
1416504362959217362,78
1416504362983136274,77
1416504363003829502,79
1416504363024977412,79
1416504363049293278,78
1416504363069609894,77
1416504363094046183,77
1416504363114638719,74
1416504363134710595,77
1416504363159571887,78
1416504363180169289,79
1416504363204376680,79
1416504363225215764,78
1416504363246022369,78
1416504363270225033,78
1416504363290703958,84
1416504363311315491,75
1416504363336346603,81
1416504363356353949,78
1416504363380305054,79
1416504363401353903,78
1416504363421645778,78
1416504363446322667,81
1416504363466877367,75
1416504363487077364,78
1416504363511776292,75
1416504363532422681,79
1416504363556392272,76
1416504363577445041,78
1416504363598014710,79
1416504363622410172,78
1416504363642575123,79
1416504363663748601,78
1416504363688036263,82
1416504363708032869,73
1416504363732431307,75
1416504363753126721,79
1416504363774253217,78
1416504363798528807,78
1416504363819010903,79
1416504363843546320,76
1416504363864518933,75
1416504363884817989,79
1416504363908664226,77
1416504363929275118,75
1416504363950331886,79
1416504363974706340,78
1416504363995010763,79
1416504364019705819,79
1416504364040655855,81
1416504364060614469,79
1416504364085205098,77
1416504364105540942,79
1416504364126438905,78
1416504364150389519,78
1416504364171329211,74
1416504364195736916,76
1416504364216693556,77
1416504364236952561,77
1416504364261345888,76
1416504364281478081,74
1416504364302464218,79
1416504364326541890,78
1416504364347142444,79
1416504364371913995,77
1416504364393455123,81
1416504364412746426,80
1416504364436944245,76
1416504364457861586,77
1416504364482483210,77
1416504364503056713,78
1416504364523552817,71
1416504364548044634,79
1416504364568669730,74
1416504364589157574,81
1416504364613621811,81
1416504364633719020,75
1416504364658231386,79
1416504364678699816,75
1416504364700237518,79
1416504364724411929,78
1416504364745043914,78
1416504364765663807,72
1416504364789207449,82
1416504364810048437,77
1416504364834795861,79
1416504364855218893,81
1416504364875957515,77
1416504364900313031,75
1416504364921324476,77
1416504364941537387,79
1416504364965864529,77
1416504364986440868,77
1416504365010530141,77
1416504365031101150,77
1416504365055848367,76
1416504365076413728,77
1416504365097374776,80
1416504365121580067,76
1416504365141979691,79
1416504365166039853,79
1416504365186514101,79
1416504365207602675,77
1416504365232087710,75
1416504365252070149,73
1416504365273281742,79
1416504365297483204,78
1416504365317999347,76
1416504365342350528,74
1416504365363079699,78
1416504365383713318,78
1416504365408553527,77
1416504365428693262,77
1416504365449239893,80
1416504365473589060,77
1416504365493759139,74
1416504365519159898,76
1416504365539240650,78
1416504365560018114,77
1416504365584857357,73
1416504365604762144,79
1416504365625626661,75
1416504365649382619,79
1416504365669845767,78
1416504365694418650,78
1416504365714999630,78
1416504365736869254,77
1416504365760976648,79
1416504365780978115,79
1416504365805419606,78
1416504365825896144,74
1416504365846490855,76
1416504365870579331,77
1416504365891504064,79
1416504365912339640,81
1416504365937057262,77
1416504365957048166,79
1416504365981514362,77
1416504366001989627,78
1416504366022666901,78
1416504366046701735,74
1416504366067209603,75
1416504366088852178,77
1416504366112853747,77
1416504366132821167,79
1416504366157766219,77
1416504366178155729,75
1416504366198769970,77
1416504366223175214,78
1416504366243729803,76
1416504366264871588,81
1416504366289183215,77
1416504366308865609,74
1416504366333793752,79
1416504366353875085,79
1416504366374905593,80
1416504366399270506,80
1416504366419827718,78
1416504366440212055,78
1416504366464860966,78
1416504366485544333,78
1416504366509869686,80
1416504366530810466,74
1416504366551397569,75
1416504366575047943,77
1416504366595937517,80
1416504366620172259,79
1416504366640852724,76
1416504366661763596,78
1416504366685635361,76
1416504366706397947,78
1416504366728937274,78
1416504366751581979,74
1416504366771664464,77
1416504366796294187,79
1416504366817132640,78
1416504366837798747,78
1416504366861829232,78
1416504366882522978,77
1416504366904229532,78
1416504366927758786,79
1416504366948309196,80
1416504366972679797,80
1416504366992847099,78
1416504367017431354,76
1416504367038000141,79
1416504367058393179,75
1416504367082757546,76
1416504367103891879,79
1416504367123851586,76
1416504367148841805,78
1416504367169465431,77
1416504367193400931,84
1416504367214314915,78
1416504367234934362,74
1416504367259347213,74
1416504367280058678,79
1416504367304709258,78
1416504367324920299,82
1416504367345678250,74
1416504367369852681,78
1416504367390513907,79
1416504367411046818,76
1416504367435506024,80
1416504367455647172,75
1416504367480987815,75
1416504367500908984,75
1416504367521572552,78
1416504367546032730,75
1416504367566251855,78
1416504367587218899,78
1416504367611698060,79
1416504367631766504,78
1416504367656406294,79
1416504367676817454,76
1416504367697261217,74
1416504367722159193,79
1416504367742762899,77
1416504367763252962,78
1416504367787864905,77
1416504367808835036,76
1416504367832398308,77
1416504367853327862,78
1416504367873848510,75
1416504367897930080,75
1416504367918856833,78
1416504367942871823,75
1416504367963869026,76
1416504367985080935,77
1416504368008651252,79
1416504368029416900,78
1416504368050010808,79
1416504368074434895,75
1416504368094998395,75
1416504368119486848,77
1416504368139693284,77
1416504368161325079,77
1416504368184644813,78
1416504368205277395,80
1416504368225983994,77
1416504368250084838,78
1416504368271074133,80
1416504368295623188,75
1416504368316074118,75
1416504368337545720,79
1416504368361415729,78
1416504368381226787,81
1416504368402294764,79
1416504368426633502,78
1416504368446817949,78
1416504368471809221,78
1416504368492319295,80
1416504368512889815,74
1416504368537166553,75
1416504368558021985,77
1416504368582312449,78
1416504368602774664,77
1416504368625000500,82
1416504368648013099,79
1416504368668023696,75
1416504368689224676,75
1416504368712902431,77
1416504368733877614,78
1416504368758347469,77
1416504368778738704,79
1416504368799770640,75
1416504368824423320,79
1416504368844541205,85
1416504368865361251,69
1416504368889570171,75
1416504368910033969,75
1416504368934451466,77
1416504368955062594,77
1416504368979761874,78
1416504369000542681,78
1416504369020722713,75
1416504369045018554,83
1416504369065468567,79
1416504369086214720,82
1416504369110530412,78
1416504369130923926,77
1416504369155637148,79
1416504369176055554,79
1416504369196476170,80
1416504369221109266,80
1416504369241580170,78
1416504369266175900,76
1416504369286677521,76
1416504369307015816,78
1416504369331772245,81
1416504369352689938,79
1416504369372477780,78
1416504369397378422,77
1416504369417744229,77
1416504369442335199,77
1416504369462797078,82
1416504369483511861,78
1416504369507459518,79
1416504369528820064,78
1416504369548592867,85
1416504369573426612,75
1416504369593972111,78
1416504369618469199,78
1416504369638984855,78
1416504369659131947,77
1416504369684249419,81
1416504369704566384,76
1416504369724626998,73
1416504369749707074,79
1416504369770056243,78
1416504369794598247,78
1416504369815159432,77
1416504369835167934,75
1416504369860050761,77
1416504369881224032,76
