%time,field
1416503803589538263,543
1416503803610582955,543
1416503803634572385,545
1416503803655865568,544
1416503803676277239,540
1416503803700974680,545
1416503803721185636,544
1416503803745704908,544
1416503803765850111,544
1416503803786327265,546
1416503803811252833,543
1416503803831722520,543
1416503803855899214,544
1416503803876647490,544
1416503803896926851,544
1416503803921739152,542
1416503803942146112,543
1416503803962486472,544
1416503803987389990,547
1416503804007902640,545
1416503804032546379,543
1416503804053299313,545
1416503804073571433,544
1416503804097952657,544
1416503804118439799,544
1416503804139099818,544
1416503804163449621,539
1416503804183997591,543
1416503804208547643,544
1416503804229016363,544
1416503804249669496,544
1416503804274033517,542
1416503804294534615,545
1416503804315228400,544
1416503804339657669,545
1416503804360171897,543
1416503804384287721,547
1416503804405296449,542
1416503804425376845,543
1416503804449855124,543
1416503804470695406,543
1416503804494961655,543
1416503804515694318,541
1416503804536505169,545
1416503804560490087,543
1416503804581664449,544
1416503804601909964,543
1416503804626401829,546
1416503804646796602,544
1416503804671028620,543
1416503804691813745,544
1416503804712584765,544
1416503804736918793,545
1416503804757369939,542
1416503804778003667,546
1416503804802089167,543
1416503804822926718,545
1416503804847262519,544
1416503804867552014,542
1416503804888158050,543
1416503804913323677,545
1416503804933912935,544
1416503804954098123,544
1416503804978592218,545
1416503804999207655,542
1416503805023614109,544
1416503805044159361,543
1416503805065833587,545
1416503805088616361,548
1416503805109265118,542
1416503805133939813,543
1416503805154202496,544
1416503805175214407,543
1416503805199665014,544
1416503805219878842,541
1416503805241109127,540
1416503805265415117,545
1416503805285715295,544
1416503805310025068,545
1416503805330408017,547
1416503805351797780,542
1416503805375674201,543
1416503805396598959,543
1416503805422046074,544
1416503805441324392,546
1416503805461884357,541
1416503805485965459,543
1416503805506896276,544
1416503805531344212,543
1416503805551887481,545
1416503805572996136,545
1416503805597705905,545
1416503805617518438,543
1416503805637898818,545
1416503805662346509,544
1416503805682957707,547
1416503805707383863,542
1416503805727531786,543
1416503805748437742,543
1416503805772744814,544
1416503805793588924,544
1416503805818176221,541
1416503805838309205,550
1416503805858752362,544
1416503805883650182,544
1416503805903812689,544
1416503805924523874,545
1416503805948860998,542
1416503805969687133,543
1416503805994250575,543
1416503806014698012,545
1416503806034997810,544
1416503806059388847,541
1416503806080340481,545
1416503806101299205,543
1416503806125352643,545
1416503806145800636,544
1416503806170299167,546
1416503806190610551,544
1416503806211087730,543
1416503806235866084,543
1416503806256436746,544
1416503806276979919,545
1416503806301879333,546
1416503806321754744,544
1416503806346339194,543
1416503806366735114,544
1416503806387277722,547
1416503806411996471,546
1416503806432635497,543
1416503806456726354,545
1416503806477972535,544
1416503806498285864,538
1416503806522608491,542
1416503806542903594,538
1416503806563707056,544
1416503806588258782,543
1416503806608348821,545
1416503806633156830,545
1416503806653814965,543
1416503806674316680,543
1416503806698287665,544
1416503806718777894,545
1416503806739544509,544
1416503806764286571,541
1416503806784927371,543
1416503806808815839,544
1416503806829361684,544
1416503806850505544,545
1416503806874531373,546
1416503806895116151,545
1416503806915682788,542
1416503806939907964,544
1416503806960916573,544
1416503806985375243,550
1416503807005813725,543
1416503807026587651,544
1416503807050881042,546
1416503807071104617,543
1416503807092243906,544
1416503807116557341,538
1416503807137037620,545
1416503807161115075,544
1416503807182020078,544
1416503807203188148,545
1416503807227054496,547
1416503807247428788,543
1416503807272326733,543
1416503807292849135,545
1416503807317285464,545
1416503807337386241,545
1416503807358017208,542
1416503807382584785,545
1416503807402831372,545
1416503807423344227,544
1416503807448174594,545
1416503807468468273,545
1416503807493864450,542
1416503807513435007,544
1416503807533877603,543
1416503807558793815,544
1416503807579428882,544
1416503807599437455,541
1416503807624183892,545
1416503807645187819,543
1416503807669386010,544
1416503807689472634,546
1416503807709960468,542
1416503807734855992,542
1416503807754989743,544
1416503807775608193,544
1416503807800153164,545
1416503807821444974,542
1416503807845669282,542
1416503807866080568,545
1416503807886581691,544
1416503807910810065,544
1416503807931523238,546
1416503807956170391,542
1416503807976127642,543
1416503807997497043,543
1416503808021677267,544
1416503808041816836,541
1416503808062488662,538
1416503808086925041,544
1416503808107281186,544
1416503808132263192,545
1416503808152691240,544
1416503808173789351,546
1416503808197839265,544
1416503808217732908,544
1416503808238829931,543
1416503808262995628,545
1416503808283802730,551
1416503808308280508,543
1416503808328807836,544
1416503808350035245,543
1416503808373321433,544
1416503808394054046,545
1416503808414787637,544
1416503808439157290,544
1416503808460060384,543
1416503808484329540,544
1416503808504652761,545
1416503808525104853,546
1416503808549542726,542
1416503808570450276,543
1416503808594881102,544
1416503808615299433,544
1416503808635786676,544
1416503808661327097,542
1416503808680886181,545
1416503808701912785,543
1416503808726028859,546
1416503808746590740,544
1416503808771124636,545
1416503808791253912,542
1416503808812265246,543
1416503808837063060,543
1416503808856914567,544
1416503808877724966,546
1416503808905581444,544
1416503808922401518,546
1416503808946731722,543
1416503808967769837,545
1416503808989739252,544
1416503809013397694,543
1416503809033365465,542
1416503809054242455,543
1416503809077864720,546
1416503809098757145,544
1416503809123085109,546
1416503809143835412,542
1416503809164977608,545
1416503809189375686,543
1416503809209437564,545
1416503809233558790,547
1416503809254000649,539
1416503809278860237,543
1416503809298959651,544
1416503809320322642,544
1416503809344381882,545
1416503809365294533,543
1416503809385571183,546
1416503809410006761,545
1416503809430126531,543
1416503809454574787,546
1416503809475551208,546
1416503809496209026,542
1416503809520182672,543
1416503809540726352,544
1416503809561690211,543
1416503809585785857,545
1416503809606497838,541
1416503809631027980,543
1416503809651710820,543
1416503809672177857,545
1416503809696721154,544
1416503809717590797,546
1416503809737477383,546
1416503809761792438,542
1416503809782776661,544
1416503809807063702,544
1416503809827754120,547
1416503809848252016,542
1416503809872850869,543
1416503809894425089,544
1416503809917807645,544
1416503809938213929,546
1416503809958722142,541
1416503809982798202,545
1416503810003955718,544
1416503810024600783,545
1416503810048645194,544
1416503810069639510,546
1416503810093669118,543
1416503810114454987,543
1416503810135002230,544
1416503810159321163,544
1416503810180070534,545
1416503810200805833,541
1416503810225085648,544
1416503810246016861,544
1416503810269982544,546
1416503810290609233,545
1416503810311249952,538
1416503810335302187,543
1416503810356320382,543
1416503810376894135,543
1416503810401174906,544
1416503810421317844,546
1416503810446189056,542
1416503810466751426,546
1416503810486909006,543
1416503810511513747,544
1416503810532393667,548
1416503810557334767,541
1416503810577027570,543
1416503810598232778,543
1416503810622149260,544
1416503810642835342,544
1416503810663390473,541
1416503810687895443,543
1416503810708802171,544
1416503810733260996,544
1416503810753619241,544
1416503810774024357,547
1416503810797985039,542
1416503810818726723,545
1416503810839630674,545
1416503810864075337,544
1416503810885605773,549
1416503810909099196,541
1416503810929184057,545
1416503810951263737,545
1416503810974600695,545
1416503810995154819,544
1416503811016441828,546
1416503811040087025,544
1416503811061448568,543
1416503811085046326,544
1416503811105438518,546
1416503811130248240,548
1416503811150313581,542
1416503811174755338,543
1416503811195317540,543
1416503811216287318,543
1416503811237470359,544
1416503811261734879,542
1416503811281518181,545
1416503811306200578,544
1416503811326516340,545
1416503811347381691,545
1416503811371335507,546
1416503811392010895,543
1416503811416882361,543
