%time,field
1416504479124086175,59
1416504479144263189,62
1416504479164721556,61
1416504479189691795,63
1416504479210240737,65
1416504479234699683,62
1416504479254738218,63
1416504479277076419,63
1416504479300316187,59
1416504479320757625,62
1416504479342385407,62
1416504479365860539,59
1416504479386349334,65
1416504479411067121,60
1416504479431174167,63
1416504479452749018,61
1416504479476439994,64
1416504479496903467,59
1416504479521265999,62
1416504479541923142,59
1416504479566364016,59
1416504479586666570,61
1416504479607941527,62
1416504479632059099,64
1416504479652652462,62
1416504479673039502,62
1416504479697331163,59
1416504479717949383,65
1416504479742497851,61
1416504479763063135,63
1416504479784197408,62
1416504479808632865,62
1416504479828729898,62
1416504479848971178,60
1416504479873451001,57
1416504479893877165,59
1416504479918381183,62
1416504479939129792,63
1416504479959708802,60
1416504479984243715,62
1416504480004426112,62
1416504480024866227,57
1416504480049340778,62
1416504480070287231,62
1416504480095189010,62
1416504480115442402,62
1416504480135963271,59
1416504480160013575,59
1416504480180916033,61
1416504480205341097,63
1416504480225865077,60
1416504480246280647,63
1416504480270996009,62
1416504480291477919,60
1416504480312650248,59
1416504480336544675,61
1416504480356668448,61
1416504480381461260,59
1416504480402036998,63
1416504480422592921,62
1416504480447021818,64
1416504480467283981,59
1416504480488508513,60
1416504480512719235,61
1416504480532646149,63
1416504480557272699,61
1416504480577641063,58
1416504480599247407,58
1416504480623333150,61
1416504480643705031,59
1416504480664636525,61
1416504480688719759,62
1416504480709208414,60
1416504480733703056,63
1416504480754267428,60
1416504480774950874,60
1416504480799336965,59
1416504480819956477,58
1416504480844432987,60
1416504480864754043,62
1416504480885139470,64
1416504480909876576,61
1416504480930331805,61
1416504480951150039,65
1416504480975023481,63
1416504480995610010,63
1416504481020585532,64
1416504481040835540,63
1416504481061570461,59
1416504481085683874,58
1416504481106376061,61
1416504481127260083,61
1416504481151194535,65
1416504481172190585,58
1416504481196636882,61
1416504481216628802,63
1416504481238480525,61
1416504481262071780,61
1416504481282052034,61
1416504481304473428,65
1416504481327316197,63
1416504481348200484,61
1416504481372733718,62
1416504481392751335,63
1416504481414326918,60
1416504481438205982,63
1416504481458685275,60
1416504481483220579,60
1416504481503866557,63
1416504481525056870,58
1416504481548846304,63
1416504481569396434,60
1416504481593568971,63
1416504481614351582,60
1416504481634657439,62
1416504481659379540,62
1416504481680055640,63
1416504481704519808,62
1416504481724913217,59
1416504481745235967,64
1416504481769851151,58
1416504481790435173,63
1416504481811042026,60
1416504481835035757,63
1416504481855638030,59
1416504481880208980,59
1416504481900516690,59
1416504481921907910,62
1416504481945662194,62
1416504481966606247,60
1416504481987089575,60
1416504482011292460,60
1416504482031745650,64
1416504482056551372,59
1416504482077116785,62
1416504482097710284,67
1416504482121941308,61
1416504482143051671,61
1416504482167256683,62
1416504482187717049,59
1416504482208777439,61
1416504482232727913,61
1416504482253330331,59
1416504482274052816,62
1416504482297935336,59
1416504482318459000,63
1416504482343720404,63
1416504482363892613,58
1416504482384152059,62
1416504482408470461,62
1416504482428890175,63
1416504482449586707,64
1416504482474001683,59
1416504482494540176,59
1416504482518894444,61
1416504482539559775,63
1416504482560057380,62
1416504482584614333,57
1416504482605115171,64
1416504482625710163,61
1416504482650191694,62
1416504482670641811,62
