%time,field
1416504239212035051,124
1416504239237131687,125
1416504239257968642,126
1416504239278112611,130
1416504239302292660,125
1416504239323229681,125
1416504239347808253,125
1416504239368028485,125
1416504239388623141,126
1416504239413320817,123
1416504239433883280,124
1416504239458564258,124
1416504239478970397,124
1416504239499510714,128
1416504239523841464,123
1416504239544484745,124
1416504239564960847,125
1416504239589109359,125
1416504239609711276,126
1416504239634047424,124
1416504239654832085,124
1416504239675192935,124
1416504239700031567,125
1416504239720673930,126
1416504239740913867,127
1416504239766761795,123
1416504239785822510,128
1416504239810560437,123
1416504239831004682,127
1416504239851767353,123
1416504239876182089,126
1416504239896812831,123
1416504239917117324,127
1416504239941388103,124
1416504239962330041,124
1416504239986747057,127
1416504240007339116,124
1416504240027721766,124
1416504240052286241,126
1416504240072917419,124
1416504240098451015,130
1416504240117318773,125
1416504240138438854,125
1416504240162805405,125
1416504240183913173,124
1416504240204748574,125
1416504240228220363,127
1416504240249683812,124
1416504240274131186,123
1416504240293471320,124
1416504240315035858,123
1416504240338597205,128
1416504240359535283,124
1416504240381205015,125
1416504240404336523,126
1416504240425177511,124
1416504240450015621,127
1416504240469691395,122
1416504240491474833,127
1416504240515024188,125
1416504240535672816,126
1416504240559686177,131
1416504240580301580,125
1416504240601379911,125
1416504240626119252,124
1416504240646251675,124
1416504240670756390,125
1416504240691217899,125
1416504240711497460,120
1416504240736200755,124
1416504240756459855,124
1416504240781285266,124
1416504240802000966,129
1416504240822102504,124
1416504240846762214,125
1416504240866880064,126
1416504240887931505,125
1416504240912484133,124
1416504240932866152,125
1416504240957235735,123
1416504240978294973,124
1416504240998223058,126
1416504241022956070,124
1416504241043208801,124
1416504241063985398,123
1416504241088524912,125
1416504241108783130,124
1416504241133180180,127
1416504241154035612,127
1416504241174184161,125
1416504241198669116,124
1416504241219387692,125
1416504241240197365,124
1416504241264836704,124
1416504241284727405,123
1416504241309445838,125
1416504241330422730,124
1416504241350522454,124
1416504241375019903,125
1416504241395625710,128
1416504241420078705,126
1416504241440771820,124
1416504241460831653,125
1416504241485626243,125
1416504241505968638,132
1416504241526913822,122
1416504241551085644,124
1416504241571836813,124
1416504241596039893,127
1416504241616948029,123
1416504241637232853,122
1416504241661923739,122
1416504241682403875,124
1416504241703073661,124
1416504241727347307,124
1416504241747573888,125
1416504241772393661,123
1416504241793184606,124
1416504241813177088,124
1416504241837684368,126
