%time,field
1416504117562936529,194
1416504117583823392,200
1416504117603958403,191
1416504117628977179,192
1416504117648956481,193
1416504117669578678,193
1416504117694089101,193
1416504117715253768,193
1416504117739356281,192
1416504117759902291,193
1416504117780554051,194
1416504117804852042,193
1416504117825511344,196
1416504117849623990,191
1416504117870369893,193
1416504117890792681,193
1416504117915409778,193
1416504117935713520,192
1416504117956915625,193
1416504117981087507,192
1416504118001781793,192
1416504118026547173,193
1416504118046388026,192
1416504118067251620,199
1416504118091320979,192
1416504118111730860,192
1416504118132834254,193
1416504118156952592,193
1416504118178039363,195
1416504118202682697,196
1416504118222586827,196
1416504118244353012,194
1416504118267780296,195
1416504118288508398,193
1416504118309217474,191
1416504118333136986,192
1416504118354151699,194
1416504118378896307,197
1416504118399040216,197
1416504118423373201,194
1416504118443946158,193
1416504118464633874,192
1416504118489001758,194
1416504118509139193,192
1416504118533581060,193
1416504118554812658,191
1416504118574684471,193
1416504118599034736,193
1416504118619676628,198
1416504118640712053,197
1416504118665290363,194
1416504118685210570,193
1416504118710108942,193
1416504118730877600,193
1416504118751236298,194
1416504118775658222,193
1416504118795838640,191
1416504118816422367,194
1416504118840643533,193
1416504118861707220,197
1416504118885738570,196
1416504118906807097,191
1416504118927410083,193
1416504118951782107,193
1416504118972163569,193
1416504118993013538,192
1416504119017393209,193
1416504119037798952,193
1416504119062354561,193
1416504119083468413,197
1416504119103521291,197
1416504119127460750,200
1416504119147976141,191
1416504119172560576,192
1416504119193513488,193
1416504119214098928,193
1416504119238078873,196
1416504119259392092,193
1416504119279565122,192
1416504119304047818,193
1416504119324642422,193
1416504119348928095,192
1416504119369624927,187
1416504119390268353,196
1416504119414604686,193
1416504119434833566,199
1416504119455872356,196
1416504119480189984,196
1416504119500391349,192
1416504119525062866,194
1416504119545709174,193
1416504119566359355,193
1416504119590984513,196
1416504119610949587,196
1416504119631369732,192
1416504119655832782,194
1416504119676643271,197
1416504119701006941,190
1416504119721913478,192
1416504119742507743,194
1416504119766685211,192
1416504119787301891,193
1416504119811824376,193
1416504119832591452,194
1416504119853066842,193
1416504119877322984,192
1416504119898133306,197
1416504119918626824,193
1416504119942886307,196
1416504119963323231,189
1416504119988016693,192
1416504120008614476,193
1416504120029177138,194
1416504120053170389,192
1416504120074581655,195
1416504120096023886,192
1416504120118714866,194
1416504120139549154,193
1416504120164212518,193
1416504120184777546,195
1416504120205990027,192
1416504120229314818,191
1416504120250411891,194
1416504120271869687,193
1416504120294867262,193
1416504120315641725,193
1416504120339835981,192
1416504120360858777,193
1416504120381733324,193
1416504120405804168,194
1416504120426033576,191
1416504120451157819,192
1416504120471289111,192
1416504120495438288,194
1416504120516401375,191
1416504120536750912,198
