%time,field
1416503963046292310,314
1416503963066798682,314
1416503963086990929,314
1416503963111958182,319
1416503963132711411,313
1416503963156760899,314
1416503963177023964,315
1416503963197898784,314
1416503963222546512,315
1416503963243095574,312
1416503963263738650,315
1416503963289285976,314
1416503963307867571,314
1416503963332868194,313
1416503963353102308,316
1416503963374186733,312
1416503963398713938,314
1416503963418835211,314
1416503963439723817,314
1416503963464246046,315
1416503963484705576,312
1416503963509178238,315
1416503963529675367,314
1416503963550276687,316
1416503963574725656,314
1416503963595591330,313
1416503963615468766,312
1416503963640426537,315
1416503963660321317,314
1416503963685137061,317
1416503963705484772,314
1416503963726510078,313
1416503963750836112,316
1416503963771788308,315
1416503963796572912,315
1416503963816456188,317
1416503963837071869,313
1416503963861204911,314
1416503963881995280,314
1416503963902071686,314
1416503963926914632,314
1416503963947891248,313
1416503963972301829,314
1416503963992661767,316
1416503964013122951,314
1416503964037552905,316
1416503964057746001,316
1416503964078679131,313
1416503964102750799,314
1416503964123142773,314
1416503964148399261,313
1416503964168287979,318
1416503964189029831,313
1416503964213434739,314
1416503964234215271,315
1416503964254645379,315
1416503964279245860,315
1416503964300285884,316
1416503964324868430,314
1416503964344397692,316
1416503964365439786,314
1416503964389798139,315
1416503964410257623,317
1416503964434795932,313
1416503964455320801,313
1416503964476421999,316
1416503964500706770,314
1416503964520543629,316
1416503964541715723,312
1416503964565690271,314
1416503964586397251,313
1416503964610533150,314
1416503964631441878,314
1416503964652431958,317
1416503964676648605,313
1416503964697070093,314
1416503964718764134,314
1416503964741733154,314
1416503964762817960,316
1416503964787687085,313
1416503964807237470,316
1416503964829134897,315
1416503964852529075,317
1416503964872762176,314
1416503964897054645,313
1416503964917728139,313
1416503964938713149,314
1416503964963381564,314
1416503964983747414,314
1416503965008213193,314
1416503965028504321,311
1416503965048748447,316
1416503965074163759,313
1416503965094318247,315
1416503965118653663,319
1416503965139720519,311
1416503965159881341,314
1416503965184363820,314
1416503965204851774,314
1416503965224933863,314
1416503965249618099,315
1416503965270403502,313
1416503965294947340,315
1416503965315195937,315
1416503965335561308,314
1416503965360544436,316
1416503965380981409,313
1416503965401591279,314
1416503965425992860,314
1416503965446545189,314
1416503965471082167,314
1416503965491174973,313
1416503965512182527,318
1416503965536145077,316
1416503965557118060,314
1416503965577662532,315
1416503965602042067,313
1416503965622649662,318
1416503965646974885,318
1416503965667671779,314
1416503965688343379,315
1416503965712705267,318
1416503965732761057,313
1416503965753158574,313
1416503965778133067,314
1416503965798361070,314
1416503965823147597,315
1416503965843534894,313
1416503965864541357,317
1416503965888890364,315
1416503965908913514,316
1416503965933925207,314
1416503965953901512,317
1416503965975008934,314
1416503965999304906,313
1416503966019550019,315
1416503966040626095,314
1416503966064946778,314
1416503966085440089,313
1416503966109942861,316
1416503966130044370,315
1416503966150643552,315
1416503966175515369,320
1416503966196647606,314
1416503966216159134,313
1416503966241076142,313
1416503966261213937,314
1416503966285851518,315
1416503966306660845,315
1416503966327251256,314
1416503966351700908,319
1416503966372426242,314
1416503966392826667,315
1416503966417300958,318
1416503966437563005,313
1416503966462082392,313
1416503966482310046,312
1416503966504035474,314
1416503966527397088,315
1416503966548577987,314
1416503966572594005,313
1416503966593345370,315
1416503966614596548,314
1416503966637856427,315
