%time,field
1416504334038871087,92
1416504334064052485,89
1416504334084249619,90
1416504334105602252,93
1416504334129517436,84
1416504334149983544,86
1416504334170563974,88
1416504334195131676,89
1416504334215634623,89
1416504334241015212,90
1416504334260692234,89
1416504334281566703,91
1416504334305684466,89
1416504334326362325,91
1416504334350701314,85
1416504334370845228,87
1416504334392060690,88
1416504334415989209,87
1416504334436837846,89
1416504334457783651,92
1416504334481769184,87
1416504334502323408,87
1416504334526994234,89
1416504334547380041,90
1416504334568187153,89
1416504334592023688,88
1416504334612992872,88
1416504334633666076,87
1416504334657843626,88
1416504334678481913,87
1416504334703032782,81
1416504334723086773,89
1416504334744486061,86
1416504334769556327,87
1416504334788980894,89
1416504334809728658,88
1416504334834047462,89
1416504334854635899,88
1416504334878672492,89
1416504334899629103,91
1416504334921286641,90
1416504334945211918,89
1416504334965182845,87
1416504334989352225,91
1416504335009896206,87
1416504335031357179,88
1416504335055256843,90
1416504335075822257,84
1416504335097279707,90
1416504335121466065,90
1416504335140941470,88
1416504335165387281,90
1416504335185799744,84
1416504335207327929,87
1416504335231276133,87
1416504335251928053,89
1416504335273529359,106
1416504335297133994,87
1416504335317453090,90
1416504335341882800,89
1416504335362277718,89
1416504335386902043,87
1416504335406947309,87
1416504335427585764,88
1416504335452502757,90
1416504335473249698,86
1416504335493502212,90
1416504335518078630,93
1416504335538614688,89
1416504335562974208,86
1416504335583591124,91
1416504335603857621,87
1416504335628703578,92
1416504335649240729,87
1416504335673633590,90
1416504335694204461,86
1416504335714764789,90
1416504335738783961,88
1416504335759701270,85
1416504335779986530,90
1416504335804843392,87
1416504335825408475,93
1416504335849692309,87
1416504335869882163,92
1416504335890985059,86
1416504335914980735,90
1416504335935778029,91
1416504335955850630,92
1416504335980539575,91
1416504336001745836,88
1416504336025464414,87
1416504336046442699,90
1416504336066799059,87
1416504336091497923,88
1416504336112006288,92
1416504336132768444,93
1416504336157163004,91
1416504336177120039,89
1416504336202029110,87
1416504336222479769,90
1416504336243131640,88
1416504336267302743,87
1416504336287479517,91
1416504336313144399,87
1416504336332735666,90
1416504336353918856,89
1416504336377629451,89
1416504336398666549,90
1416504336419017086,89
1416504336443578273,90
1416504336464512929,85
1416504336488931964,89
1416504336509186935,87
1416504336530081295,90
1416504336554106397,87
1416504336574732474,94
1416504336594992201,89
1416504336619913955,90
1416504336639905613,89
1416504336665364817,90
1416504336685331579,90
1416504336705866124,87
1416504336730278770,88
1416504336750842340,89
1416504336771493288,88
1416504336795710897,88
1416504336816865180,86
1416504336841255084,89
1416504336861467934,87
1416504336881888987,88
1416504336906737720,89
1416504336926638746,92
1416504336951516239,92
1416504336971939681,87
1416504336993105270,91
1416504337017041161,88
1416504337037346822,91
1416504337058486016,88
1416504337082579443,87
1416504337103137150,90
1416504337127602801,92
1416504337148168095,88
1416504337169469973,89
1416504337192717514,89
1416504337213345026,89
1416504337234716439,88
1416504337258733459,90
1416504337278969311,92
1416504337303706868,83
1416504337324311466,87
1416504337348750732,90
1416504337369489810,90
1416504337389397644,91
1416504337413818634,88
1416504337434608948,93
1416504337455343530,91
1416504337479429222,89
1416504337500467286,89
1416504337524847337,86
1416504337545007183,87
1416504337565645221,89
1416504337589928274,87
1416504337611002486,89
1416504337635477157,92
1416504337655813157,90
1416504337676158576,90
1416504337700993154,88
1416504337721506099,90
1416504337742158280,90
1416504337766229503,86
1416504337787126022,89
1416504337811380835,90
1416504337832096084,90
1416504337852305632,88
1416504337877125630,83
1416504337897674708,90
1416504337918296279,90
1416504337942758813,92
1416504337963174553,88
1416504337987598232,86
1416504338008243855,87
1416504338028910669,87
1416504338053338790,89
1416504338073704156,87
1416504338094382882,92
1416504338118811965,87
1416504338139280379,92
1416504338163558039,91
1416504338183884878,91
1416504338205032466,86
1416504338229400491,87
1416504338249792224,88
1416504338274003361,90
1416504338294841323,90
1416504338315521637,90
1416504338339962196,92
1416504338360871896,87
1416504338381109222,89
1416504338405508467,89
1416504338425844026,93
1416504338450499692,90
1416504338471003301,92
1416504338491282998,87
1416504338516053524,91
1416504338537194342,88
1416504338557216636,91
1416504338581186659,88
1416504338601977589,91
1416504338626390576,87
1416504338647167961,87
1416504338667856549,88
1416504338692207334,90
1416504338712988397,90
1416504338733473079,89
1416504338757891292,90
1416504338777870808,89
1416504338802722374,95
1416504338822923854,86
1416504338843915774,87
1416504338868376990,89
1416504338888873503,90
1416504338913319339,90
1416504338933898966,85
1416504338954667169,89
1416504338978456949,88
1416504338999945886,90
1416504339020086828,88
1416504339044038389,90
1416504339065767931,90
1416504339089648762,87
1416504339109833719,88
1416504339130734037,87
1416504339155020312,92
1416504339175539504,89
1416504339199904268,89
1416504339220565705,87
1416504339241269072,87
1416504339265401329,93
1416504339286085961,88
1416504339310171351,88
1416504339330693768,90
1416504339351700382,88
1416504339375628154,89
1416504339396422031,88
1416504339417555392,86
1416504339441598240,90
1416504339462206802,89
1416504339486599032,89
1416504339507229152,89
1416504339527777363,87
1416504339551725170,86
1416504339572819353,88
1416504339596889162,89
1416504339617690886,87
1416504339638423419,87
1416504339662802098,87
1416504339683050263,88
1416504339703969209,87
1416504339728659484,91
1416504339748506881,92
1416504339773056377,88
1416504339793837866,87
1416504339814621144,91
1416504339838903494,87
1416504339859604295,93
1416504339880689151,87
1416504339905517990,88
1416504339925030318,87
1416504339949474151,91
1416504339969540583,91
1416504339990687390,87
1416504340015080501,90
1416504340035751931,89
1416504340056232984,88
1416504340081050863,88
1416504340101178596,86
1416504340125607894,86
1416504340146233339,87
1416504340166791913,90
1416504340191151263,90
1416504340211724650,88
1416504340233247689,89
1416504340257078797,88
1416504340277035758,84
1416504340301764926,88
1416504340322151465,91
1416504340342368806,89
1416504340367321535,89
1416504340387856014,88
1416504340412014224,88
1416504340433133828,88
1416504340453512870,88
1416504340477832721,88
1416504340498181124,88
1416504340519017276,90
1416504340543273401,90
1416504340563492121,90
1416504340588610371,86
1416504340609164083,91
1416504340629148065,87
1416504340653523452,90
1416504340674240570,86
1416504340694794668,90
1416504340719479987,87
1416504340740008061,91
1416504340765024355,90
1416504340785291710,88
1416504340805389864,87
1416504340830226722,87
1416504340850656734,90
1416504340871270077,89
1416504340895538000,92
1416504340916325923,91
1416504340940703214,87
1416504340961316000,89
1416504340982992341,90
1416504341006337584,89
1416504341026809752,88
1416504341051227158,86
1416504341072172022,90
1416504341093210253,90
1416504341116419843,91
1416504341137590313,89
1416504341158130174,87
1416504341182421185,87
1416504341202714748,88
1416504341227440553,88
1416504341247907005,90
1416504341272909074,90
1416504341292634300,87
1416504341313570660,89
1416504341337911002,86
1416504341358187286,88
1416504341379054078,92
1416504341403287568,89
1416504341424071452,87
1416504341448778024,94
1416504341469032444,90
1416504341489640189,89
1416504341513856124,90
1416504341534196508,87
1416504341556240417,84
1416504341579740626,87
1416504341600647343,88
1416504341625382455,87
1416504341645090226,87
1416504341665770901,87
1416504341690153183,88
1416504341710685427,89
1416504341734780524,89
1416504341755741264,91
1416504341775929985,87
1416504341800503126,90
1416504341820911958,89
1416504341841800124,92
1416504341866313323,86
1416504341886749023,86
1416504341911507136,88
1416504341931645553,87
1416504341953049723,89
1416504341976629821,96
1416504341997430548,86
1416504342017895577,87
1416504342042261171,90
1416504342062378194,87
1416504342087421193,90
1416504342107482806,85
1416504342128301288,88
1416504342152598292,90
1416504342173538791,91
1416504342193866727,89
1416504342218542008,92
1416504342239642234,88
1416504342263585652,89
1416504342283921281,86
1416504342305398997,88
1416504342328694052,90
1416504342349703706,86
1416504342374146470,88
1416504342394655451,87
1416504342415312022,90
1416504342439837454,91
1416504342460260956,86
1416504342480595778,88
1416504342505745394,89
1416504342525459599,89
1416504342550460373,90
