%time,field
1416504297161947969,99
1416504297186542244,103
1416504297207326715,100
1416504297227706789,101
1416504297252023438,98
1416504297273248597,99
1416504297297589861,97
1416504297317853446,100
1416504297338192216,103
1416504297362577576,97
1416504297382998292,99
1416504297403541992,103
1416504297428476350,102
1416504297449246157,99
1416504297473381480,97
1416504297493909199,98
1416504297514744895,100
1416504297538536524,100
1416504297559566010,100
1416504297580203252,101
1416504297604179724,102
1416504297625774586,100
1416504297649938403,99
1416504297670091433,101
1416504297691822989,108
1416504297715091197,98
1416504297735644960,99
1416504297756276564,98
1416504297780213407,98
1416504297800860867,99
1416504297825192274,100
1416504297845944378,100
1416504297870627794,100
1416504297890747765,103
1416504297911317908,101
1416504297936438439,102
1416504297956826287,100
1416504297981273937,100
1416504298001853313,100
1416504298021935462,99
1416504298046753406,100
1416504298067484706,98
1416504298087501909,100
1416504298112245239,98
1416504298132906437,100
1416504298157324197,101
1416504298177912498,98
1416504298198093176,99
1416504298222528653,100
1416504298243499276,100
1416504298263612496,100
1416504298288898986,100
1416504298308555396,98
1416504298333123183,102
1416504298353666487,101
1416504298374691147,100
1416504298398621365,101
1416504298419356533,99
1416504298439624870,98
1416504298465058093,100
1416504298485150476,99
1416504298509672775,99
1416504298530017544,99
1416504298550748293,100
1416504298575137290,101
1416504298595468784,99
1416504298620223510,99
1416504298640298107,104
1416504298661427274,98
1416504298685578923,98
1416504298706210452,99
1416504298726912165,99
1416504298751289356,106
1416504298771352054,98
1416504298795836865,100
1416504298817235713,102
1416504298837501313,101
1416504298861412397,101
1416504298881808811,98
1416504298902979103,97
1416504298926936633,100
1416504298947637118,104
1416504298972431374,101
1416504298992795397,105
1416504299013192905,99
1416504299037994638,104
1416504299058158412,100
1416504299078840396,101
1416504299103614470,99
1416504299123766122,100
1416504299148629629,100
1416504299170565945,102
1416504299189674668,100
1416504299214060493,100
1416504299234303302,100
1416504299259191390,101
1416504299279407102,102
1416504299300388213,103
1416504299324721844,99
1416504299344753625,102
1416504299366214518,99
1416504299390267048,101
1416504299410750812,99
1416504299435319812,100
1416504299455797066,104
1416504299476703468,98
1416504299500292082,100
1416504299521723323,99
1416504299542545013,99
1416504299566015714,99
1416504299586908350,101
1416504299611313299,97
1416504299631611197,100
1416504299653255185,100
1416504299676973031,100
1416504299697056313,102
1416504299718824227,99
1416504299742417546,101
1416504299762977328,100
1416504299787279729,101
1416504299808184647,103
1416504299832579347,98
1416504299853131471,99
1416504299873793319,100
1416504299897581480,102
1416504299918068221,102
1416504299943048964,98
1416504299963637967,100
1416504299983795331,99
1416504300008906149,98
1416504300029204438,95
1416504300049778923,100
1416504300074007026,99
1416504300094231487,99
1416504300119190230,102
1416504300139401612,100
1416504300160034269,101
1416504300185258178,98
1416504300204925177,100
1416504300226309707,99
1416504300250234081,101
1416504300270927781,104
1416504300295280226,95
1416504300315749382,100
1416504300336032857,99
1416504300361263617,99
1416504300380927228,101
1416504300402047334,101
1416504300426406443,100
1416504300446612604,104
1416504300471005820,102
1416504300491977971,100
1416504300512878129,104
1416504300537462789,97
1416504300557565315,99
1416504300582004190,97
1416504300602504737,98
1416504300622808704,101
1416504300648002485,100
1416504300667868569,99
1416504300688965488,100
1416504300713416566,99
1416504300733194656,100
1416504300757883643,101
1416504300778118633,101
1416504300798814579,99
1416504300823200739,99
1416504300843933854,99
1416504300864524981,105
1416504300890364335,101
1416504300909472401,98
1416504300934302183,99
1416504300954451985,99
1416504300974929280,99
1416504300999511816,99
1416504301019944153,101
1416504301041637749,100
1416504301065490075,101
1416504301085915437,99
1416504301110006760,102
1416504301130423738,99
1416504301151530879,101
1416504301175872714,100
1416504301196450763,100
1416504301217076143,101
1416504301241241032,100
1416504301262188597,100
1416504301286499818,99
1416504301306979353,99
1416504301327193742,106
1416504301352071677,99
1416504301372750102,101
1416504301397025738,99
1416504301418854675,100
1416504301438400386,99
1416504301462690055,100
1416504301483132918,99
1416504301505078688,100
1416504301528196681,100
1416504301548880474,100
1416504301572827028,98
1416504301593948167,97
1416504301614360138,99
1416504301638477731,101
1416504301659088012,101
1416504301681474988,101
1416504301704423020,102
1416504301724911365,98
1416504301749338298,101
1416504301770049032,99
1416504301791000636,101
1416504301814317820,101
1416504301835228832,101
1416504301859765053,99
1416504301880737640,99
1416504301900603389,101
1416504301925450654,99
1416504301946191912,105
1416504301970444635,100
1416504301990497233,103
1416504302011573715,100
1416504302035804935,103
1416504302056815918,98
1416504302080554793,100
1416504302101195668,102
1416504302122078556,97
1416504302146508266,99
1416504302167049881,97
1416504302187445486,102
1416504302212189282,99
1416504302233052220,100
1416504302257464861,100
1416504302277313807,106
1416504302298172255,99
1416504302322674253,100
1416504302343302404,101
1416504302363411290,101
1416504302388283707,103
1416504302409742150,98
1416504302433738417,99
1416504302453778997,101
1416504302474221979,100
1416504302498328862,100
1416504302519336834,100
1416504302539977684,99
1416504302564031943,99
1416504302585413115,99
1416504302610094014,101
1416504302629887815,102
1416504302650495405,100
1416504302674997739,98
1416504302695835415,99
1416504302719889849,101
1416504302740532869,103
1416504302762171234,99
1416504302785840255,100
1416504302806078007,100
1416504302826605365,101
1416504302851149313,100
1416504302871232906,97
1416504302896210211,99
1416504302916638668,100
1416504302937337396,103
1416504302961851870,101
1416504302981809826,106
1416504303002351827,103
1416504303027206028,99
1416504303047332959,103
1416504303071849846,101
1416504303093300842,102
1416504303113776302,99
1416504303138136108,102
1416504303158338946,102
1416504303178648325,99
1416504303203306728,104
1416504303223789435,102
1416504303248389415,102
1416504303268546694,100
1416504303289460894,100
1416504303314109143,99
1416504303334468150,103
1416504303358885993,98
1416504303379399715,102
1416504303399657758,99
1416504303424029090,100
1416504303445039988,103
1416504303465373387,98
1416504303489575731,100
1416504303510350239,99
1416504303534511055,100
1416504303555473654,101
1416504303577723855,101
1416504303600690931,98
1416504303621159736,97
1416504303642841535,102
1416504303666625606,100
1416504303686157504,102
1416504303710836443,98
1416504303731159305,100
1416504303755703186,98
1416504303777655858,100
1416504303796958221,104
1416504303821734616,100
1416504303842262490,106
1416504303863707647,99
1416504303886979413,100
1416504303907789948,97
1416504303932003974,100
1416504303953210400,99
1416504303974562477,100
1416504303997561384,98
1416504304018358544,102
1416504304042325109,102
1416504304063402608,98
1416504304083997875,100
1416504304108088457,101
1416504304129282014,99
1416504304149502732,109
1416504304173734298,98
1416504304194475951,101
1416504304218812770,99
1416504304239407588,99
1416504304260041207,99
1416504304284136752,101
1416504304305405334,101
1416504304325667351,102
1416504304350105370,101
1416504304370558469,102
1416504304394712469,105
1416504304415532731,99
1416504304436001872,99
1416504304460701212,99
1416504304481494678,99
1416504304501151855,100
1416504304525783151,97
1416504304546642511,100
1416504304571010436,99
1416504304591701705,100
1416504304612168937,101
1416504304636322651,97
1416504304657660601,98
1416504304681590409,99
1416504304701822136,97
1416504304722964702,100
1416504304746860307,100
1416504304767817078,96
