%time,field.ch1,field.ch2,field.ch3,field.ch4,field.ch5,field.ch6,field.ch7,field.ch8
1413812358308382529,97,112,143,165,184,224,239,244
1413812358404241262,103,92,135,163,183,208,225,234
1413812358506738232,94,117,148,171,189,203,217,227
1413812358609344976,98,88,135,165,186,199,211,221
1413812358711758073,101,111,145,171,190,200,212,218
1413812358813495343,94,84,136,166,188,198,208,216
1413812358917020082,100,116,145,170,191,200,208,215
1413812359018228672,94,96,136,165,188,198,207,214
1413812359120616165,108,117,149,179,218,343,291,263
1413812359225090779,98,91,138,166,191,261,263,258
1413812359327162028,116,105,144,168,188,228,243,248
1413812359427807439,94,92,140,166,186,212,229,238
1413812359528774396,139,93,136,166,186,203,218,229
1413812359653625443,97,88,132,163,185,198,211,222
1413812359731377084,117,81,128,161,184,196,207,217
1413812359835100044,96,90,131,161,184,194,205,214
1413812359937895292,98,79,128,159,183,194,204,212
1413812360040515802,97,92,132,161,184,196,204,212
1413812360141738677,103,72,128,166,209,337,286,260
1413812360304249666,93,92,131,160,185,256,259,255
1413812360345576526,106,64,119,152,175,219,237,243
1413812360458471444,92,91,130,158,179,205,223,233
1413812360554747714,113,64,119,153,177,195,212,222
1413812360656231781,88,87,127,157,179,193,206,217
1413812360758727561,116,125,150,171,189,198,207,216
1413812360875681353,86,87,134,164,186,196,206,213
1413812360962202133,120,125,153,175,194,201,208,214
1413812361062024570,90,87,136,166,189,198,207,214
1413812361164623075,117,126,156,184,222,345,293,265
1413812361266794029,92,85,135,166,191,262,264,259
1413812361366221153,123,128,151,173,191,231,245,251
1413812361476376494,90,92,134,165,186,211,228,238
1413812361575541174,117,120,146,171,190,205,219,232
1413812361679283047,94,87,136,165,187,200,212,223
1413812361776448235,118,112,147,172,191,201,211,219
1413812361883892165,97,89,135,166,188,199,208,216
1413812361981351804,98,108,143,170,191,200,208,215
1413812362087833589,94,89,135,165,188,198,207,214
1413812362186850617,91,105,144,176,217,341,290,264
1413812362489623443,96,88,133,162,183,209,226,235
1413812362619999685,113,87,132,162,184,201,216,227
1413812362693895600,92,88,131,161,183,196,210,220
1413812362794578856,120,80,128,159,183,194,207,216
1413812362906366005,94,89,131,160,183,194,205,214
1413812363006167330,129,72,124,156,182,193,203,211
1413812363112343352,96,87,132,168,210,336,286,260
1413812363211468813,137,64,118,153,181,254,257,254
1413812363424774545,140,121,148,170,186,210,226,235
1413812363513799242,97,87,133,163,184,200,215,226
1413812363613749468,141,128,155,176,193,202,213,222
1413812363716074161,97,83,137,166,188,199,209,218
1413812363818436077,101,127,152,175,194,202,210,217
1413812363932522869,95,91,135,167,190,199,208,215
1413812364022362635,99,126,152,175,194,202,210,216
1413812364227869079,96,115,148,171,194,263,265,260
1413812364343229448,97,86,137,165,188,228,243,249
1413812364429164138,112,112,145,171,189,213,230,239
1413812364633596530,115,102,139,167,188,200,213,223
1413812364743122108,91,89,133,163,186,197,209,218
1413812364840330854,125,91,135,164,187,197,207,215
1413812364941514328,98,93,135,164,187,197,206,214
1413812365046346474,133,80,129,161,185,195,205,212
1413812365145632177,93,92,137,171,212,338,287,261
1413812365247728132,137,72,124,157,184,257,259,256
1413812365350124068,92,92,131,159,180,222,239,244
1413812365456744368,141,60,118,153,176,203,222,233
1413812365653594810,94,49,111,149,175,190,204,217
1413812365962405057,97,91,126,157,180,191,201,209
1413812366064541438,97,124,149,170,189,196,204,211
1413812366168128702,95,89,140,174,214,339,288,261
1413812366267942768,98,128,151,174,195,263,263,258
1413812366378658538,94,95,136,165,186,227,242,247
1413812366474325273,97,124,148,172,190,214,230,240
1413812366577758389,97,91,139,167,187,204,218,229
1413812366677329202,104,112,149,173,191,203,214,223
