%time,field.ch1,field.ch2,field.ch3,field.ch4,field.ch5,field.ch6,field.ch7,field.ch8
1413812267127804659,204,158,179,199,217,283,282,275
1413812267230470645,158,160,180,198,212,249,261,264
1413812267329167970,230,135,171,192,208,230,244,252
1413812267431477678,163,160,179,196,210,223,234,243
1413812267533456467,251,106,156,183,203,215,225,235
1413812267635958485,158,160,176,193,208,215,223,231
1413812267738330814,232,88,142,175,198,209,218,226
1413812267840544373,158,159,172,188,205,209,218,224
1413812267946048021,194,91,143,173,197,206,214,221
1413812268048585205,157,159,175,197,231,352,299,272
1413812268152355491,195,120,157,181,203,271,271,266
1413812268250320462,159,159,174,190,203,241,253,256
1413812268349801154,228,147,173,191,204,226,239,247
1413812268451541017,164,159,178,195,208,219,230,239
1413812268554756857,234,160,181,198,211,219,227,234
1413812268666266939,160,160,181,198,212,218,224,230
1413812268759681661,216,89,144,178,201,211,220,226
1413812268862235642,161,162,173,190,207,213,219,225
1413812268964428415,182,89,144,182,223,348,297,270
1413812269065370472,161,158,171,187,206,273,272,266
1413812269167600630,156,107,149,175,194,235,249,254
1413812269269983739,162,162,175,190,202,223,237,245
1413812269381021276,149,138,167,188,202,215,227,236
1413812269679936763,161,169,187,202,215,219,225,230
1413812269791356672,149,159,182,201,215,220,224,229
1413812269911317019,160,157,181,200,215,219,224,228
1413812269988363296,151,159,187,210,243,361,306,277
1413812270101091253,159,160,183,201,218,283,281,274
1413812270188515921,154,158,184,199,213,250,261,264
1413812270294185301,159,160,183,200,212,233,246,253
1413812270393908155,149,159,181,200,213,225,236,244
1413812270500579132,160,167,186,203,215,223,231,238
1413812270600339913,153,159,182,201,216,221,228,234
1413812270700557656,189,166,187,204,218,223,228,233
1413812270801863588,150,159,182,202,217,221,227,231
1413812270906904447,213,170,190,206,219,223,227,231
1413812271007048832,150,159,186,211,244,362,308,279
1413812271109282778,162,171,189,205,221,286,284,276
1413812271329209267,162,166,187,204,215,235,248,255
1413812271416346618,159,160,183,201,214,226,237,245
1413812271515607742,172,159,182,200,214,223,231,239
1413812271617044848,164,159,182,200,215,221,228,235
1413812271719686424,202,134,169,193,211,218,226,232
1413812271822030106,161,159,177,196,212,218,224,229
1413812271928575696,228,103,151,181,203,212,220,225
1413812272026983378,156,158,176,200,234,355,302,275
1413812272142434642,223,79,137,171,198,269,271,267
1413812272232726901,162,157,168,185,200,239,252,257
1413812272338617368,199,84,138,169,190,217,233,244
1413812272538442872,174,160,178,193,206,213,222,229
1413812272641175050,161,163,179,197,210,215,222,229
1413812272748349009,163,140,173,194,210,215,221,227
1413812273047490821,158,159,177,202,236,355,302,275
1413812273157757822,237,81,136,172,198,269,271,267
1413812273251854881,157,155,168,185,200,239,251,257
1413812273356359357,205,75,132,165,188,215,232,242
1413812273458485248,159,159,168,184,200,212,225,234
1413812273560907308,173,104,146,174,194,206,217,227
1413812273661410742,164,160,173,189,203,209,217,224
1413812273764267038,152,131,163,185,203,210,217,223
1413812273865254192,161,160,177,194,208,213,218,223
1413812273967922162,145,151,176,194,209,213,220,224
1413812274099199873,162,160,184,207,239,357,304,275
1413812274175947332,140,158,180,198,215,280,277,272
1413812274277481698,161,155,179,197,210,247,257,261
1413812274373518401,141,158,180,197,210,231,243,251
1413812274477955197,161,158,181,199,210,224,234,242
