%time,field.ch1,field.ch2,field.ch3,field.ch4,field.ch5,field.ch6,field.ch7,field.ch8
1413812406400932952,85,87,130,158,179,222,236,243
1413812406503785541,89,87,129,161,180,206,223,233
1413812406606425192,2,85,128,159,180,198,213,224
1413812406705311120,89,90,133,161,183,196,208,218
1413812406807763008,2,81,127,159,182,193,205,214
1413812406915042653,90,102,139,165,186,196,205,213
1413812407011397241,1,90,132,162,185,195,204,212
1413812407117961635,90,122,151,173,192,199,207,213
1413812407216089588,1,91,138,174,215,340,289,262
1413812407318946013,85,143,159,179,198,265,266,260
1413812407483456658,18,91,137,166,187,229,244,250
1413812407523600809,90,155,168,185,198,219,233,241
1413812407632331340,71,85,143,172,192,208,221,231
1413812407741021903,86,143,167,185,200,209,219,227
1413812407845905819,81,87,141,173,194,204,214,222
1413812407936327997,85,81,131,164,189,200,210,218
1413812408035510056,89,88,132,164,188,198,208,216
1413812408137613245,81,76,126,159,184,195,206,212
1413812408247288625,86,88,134,170,212,338,288,262
1413812408351916411,92,80,127,158,185,257,260,256
1413812408456260380,90,88,130,158,180,223,239,245
1413812408565957199,96,85,129,159,180,206,223,234
1413812408664336943,1,84,128,158,180,198,213,224
1413812408760919077,85,92,133,162,183,197,209,219
1413812408858322121,1,84,129,159,182,196,206,215
1413812408962906443,90,99,138,165,186,196,206,214
1413812409064098832,2,84,130,161,184,194,204,212
1413812409166379385,93,114,146,170,190,198,206,213
1413812409370521896,97,127,153,176,196,264,264,259
1413812409572338309,91,143,162,180,195,217,232,240
1413812409677119318,88,84,137,168,189,205,220,229
1413812409776837752,90,146,165,183,198,207,218,226
1413812409874219672,90,86,139,170,192,202,212,221
1413812409975545260,90,141,163,182,199,206,214,220
1413812410078259494,89,86,138,170,193,202,211,218
1413812410177397359,85,134,162,189,225,349,295,267
1413812410390801613,89,132,156,174,191,232,246,251
1413812410484831542,14,91,137,167,187,213,230,239
1413812410590059912,85,77,128,161,184,202,217,229
1413812410689272134,6,80,131,160,183,197,211,221
1413812410898977540,11,88,131,162,184,195,205,214
1413812411104509338,38,84,129,161,184,194,204,211
1413812411221772955,101,96,140,174,214,339,288,261
1413812411515072609,81,83,131,161,181,209,226,235
1413812411629297534,86,115,146,170,188,204,218,227
1413812411715280920,82,88,135,165,186,199,212,221
1413812411917102900,88,88,137,167,189,199,209,216
1413812412019144202,86,139,161,181,197,204,212,217
1413812412120732747,84,90,139,170,192,201,209,216
1413812412247750127,90,147,169,194,228,349,295,268
1413812412330759424,86,84,137,169,194,265,266,262
1413812412528022055,76,83,137,168,189,215,232,242
1413812412640882417,89,135,159,179,196,210,223,233
1413812412736751198,80,83,136,168,190,203,215,225
1413812412938031869,96,87,136,167,190,200,210,218
1413812413038506571,101,77,128,161,183,198,207,215
1413812413253649370,102,81,131,168,211,338,288,262
1413812413445749989,87,103,136,163,183,224,240,246
1413812413548025305,86,88,129,160,181,207,224,235
1413812413656018787,89,114,145,169,187,202,215,226
1413812413762345177,85,87,136,165,186,198,210,220
1413812413858065734,88,128,156,177,194,202,211,218
1413812413962163863,90,89,138,168,192,199,209,216
