%time,field.ch1,field.ch2,field.ch3,field.ch4,field.ch5,field.ch6,field.ch7,field.ch8
1413812324815622132,112,115,145,170,190,200,208,215
1413812324913809027,164,84,132,164,187,196,207,214
1413812325016380832,117,115,145,170,190,199,207,214
1413812325119237554,166,73,130,170,212,340,290,265
1413812325221160521,113,115,144,168,191,261,262,259
1413812325323364444,168,68,123,157,180,223,239,246
1413812325426350101,114,116,143,166,184,209,225,236
1413812325534117715,161,63,121,156,179,198,213,225
1413812325631420873,114,116,142,167,186,198,210,220
1413812325732724136,150,68,121,156,181,193,205,214
1413812325849515459,113,117,143,166,187,196,206,213
1413812325939308738,145,64,124,157,182,193,203,211
1413812326040219211,112,116,143,168,188,198,205,212
1413812326143138339,115,64,125,168,210,338,287,262
1413812326247637383,113,116,143,167,190,259,261,257
1413812326349728536,122,68,123,156,179,222,238,245
1413812326446515952,113,115,143,166,184,209,224,235
1413812326555009857,129,72,125,159,180,199,214,225
1413812326654100081,112,116,143,168,187,198,210,220
1413812326756214812,130,76,127,160,183,195,206,215
1413812326856262487,117,119,146,169,189,198,207,215
1413812326961106783,131,152,169,185,197,204,211,216
1413812327060330135,110,114,157,187,224,347,294,265
1413812327162773112,132,145,167,186,205,272,272,264
1413812327264896090,118,114,153,178,196,236,249,254
1413812327368154011,132,126,157,180,196,220,234,243
1413812327469340813,116,118,150,177,195,210,224,234
1413812327574920854,131,124,152,177,196,207,218,228
1413812327680881830,117,119,150,176,196,205,215,223
1413812327783794781,132,112,151,175,195,204,213,220
1413812327879084458,113,113,153,176,196,204,212,219
1413812328007003347,125,103,144,173,194,203,211,218
1413812328089092129,110,117,152,183,222,345,294,266
1413812328183061354,123,96,139,167,194,264,266,261
1413812328286369033,112,116,147,171,190,231,245,251
1413812328390410702,134,87,134,165,186,211,228,238
1413812328491868817,112,115,146,170,188,205,218,229
1413812328649100304,141,79,131,162,185,198,211,222
1413812328813647770,145,75,128,161,186,196,206,215
1413812329109100399,104,119,148,177,216,341,289,263
1413812329206238113,152,62,121,157,185,258,262,257
1413812329321710824,110,119,141,165,184,225,241,247
1413812329413200425,152,176,181,191,200,219,232,240
1413812329513744637,110,115,158,181,197,210,222,231
1413812329619745598,156,176,187,199,210,215,223,229
1413812329716511838,112,116,160,185,204,211,219,226
1413812329817278903,154,176,187,201,213,217,222,227
1413812329918620167,112,115,158,186,204,212,219,225
1413812330023013828,112,175,187,200,216,218,222,226
1413812330133193753,109,115,162,195,234,354,302,274
1413812330225862289,111,170,183,198,215,280,279,272
1413812330432348043,113,167,181,196,208,229,242,250
1413812330635256691,117,166,181,197,209,218,226,234
1413812330743519830,112,116,158,185,204,212,221,229
1413812330840535947,121,159,177,194,209,215,222,227
1413812330939922241,114,117,157,183,203,211,218,225
1413812331041361197,125,146,170,190,207,213,219,225
1413812331143665435,107,119,158,190,229,351,300,274
1413812331249351884,136,143,163,185,206,274,273,269
1413812331349032281,110,119,154,179,197,237,251,257
1413812331452322815,143,128,159,181,197,221,236,245
1413812331552792181,113,115,154,178,196,212,225,235
1413812331655506408,152,111,149,176,196,207,219,228
