%time,field.ch1,field.ch2,field.ch3,field.ch4,field.ch5,field.ch6,field.ch7,field.ch8
1413812204640338504,344,342,313,304,299,292,288,287
1413812204742816960,347,191,238,261,274,276,277,279
1413812204845255410,343,343,304,293,290,284,280,279
1413812204947470599,344,206,245,268,296,403,347,318
1413812205046029381,346,346,306,292,292,342,331,319
1413812205148298081,349,265,275,278,279,308,312,311
1413812205257834370,347,351,318,303,293,300,302,303
1413812205356759278,349,315,310,303,296,295,295,296
1413812205458207664,343,348,328,316,305,298,294,293
1413812205559341989,343,342,329,320,311,301,293,292
1413812205662919123,344,347,335,325,317,305,297,293
1413812205763674438,346,345,335,327,320,308,299,295
1413812205866328137,348,342,334,327,321,310,301,296
1413812205967516519,352,344,338,336,346,436,374,340
1413812206069668695,349,345,335,328,325,371,357,341
1413812206172160002,348,345,334,327,320,343,342,336
1413812206276624908,349,350,334,327,320,327,328,327
1413812206376415893,344,347,335,328,320,319,318,318
1413812206484367069,347,354,341,331,323,317,312,313
1413812206594004961,348,348,338,331,324,315,309,308
1413812206684482361,345,356,342,335,326,316,309,305
1413812206789446429,344,347,339,332,326,316,308,304
1413812206887937906,353,362,350,345,353,442,380,347
1413812207004173523,349,347,340,334,330,376,361,346
1413812207099478298,344,362,346,336,328,349,346,340
1413812207197121065,349,346,339,333,324,333,333,332
1413812207298638179,348,360,346,337,327,325,323,323
1413812207399650291,346,346,339,333,326,321,317,315
1413812207500377631,344,338,333,330,323,317,312,311
1413812207616047736,347,345,335,330,324,316,308,307
1413812207703097793,344,282,300,309,311,307,302,303
1413812207810257102,344,346,325,318,315,308,302,300
1413812207905166307,347,225,266,290,316,418,364,335
1413812208010586426,345,344,313,304,304,355,345,333
1413812208121225621,345,367,338,321,310,331,331,327
1413812208211669770,348,348,332,322,312,319,320,320
1413812208315215887,346,374,345,332,320,316,313,312
1413812208435072013,344,346,341,332,322,314,309,308
1413812208522835030,344,332,331,328,321,313,306,304
1413812208635626696,347,347,335,329,321,313,305,303
1413812208726803577,344,295,307,312,313,307,301,299
1413812208830703594,343,346,327,320,316,308,302,298
1413812208936554967,344,246,278,298,321,421,365,335
1413812209031993276,345,342,315,307,307,357,346,334
1413812209139853813,344,202,245,266,277,311,317,319
1413812209236654986,345,347,308,296,290,302,307,310
1413812209334320761,344,186,233,256,266,278,285,293
1413812209437242061,345,348,305,291,285,283,283,287
1413812209539817529,347,221,251,264,271,271,273,277
1413812209641689701,344,345,309,295,288,281,277,277
1413812209772673271,347,275,284,286,285,280,275,276
1413812209847049235,345,344,317,305,298,288,281,278
1413812209949004538,346,329,321,318,327,422,359,325
1413812210056772008,344,348,328,318,312,359,344,328
1413812210153781470,345,350,331,321,312,333,331,325
1413812210268661137,343,342,333,324,314,320,320,318
1413812210358307079,349,348,334,327,317,314,312,311
1413812210460732475,343,347,338,329,320,313,308,307
1413812210562923592,348,218,264,286,295,296,295,297
1413812210666066795,346,346,316,307,304,299,295,294
1413812210773849975,347,269,283,289,294,291,288,289
1413812210868440394,345,351,321,309,305,296,290,288
1413812210970879621,348,317,315,316,327,424,364,331
1413812211091353243,345,354,331,320,314,361,347,332
1413812211175314247,343,346,333,322,313,334,333,328
