%time,field.ch1,field.ch2,field.ch3,field.ch4,field.ch5,field.ch6,field.ch7,field.ch8
1413812310419133816,88,87,135,164,184,209,225,235
1413812310521585892,118,125,151,171,190,205,218,228
1413812310620620331,85,103,140,168,189,201,212,222
1413812310723084629,121,125,155,176,194,202,211,219
1413812310824699819,151,103,151,176,195,203,211,218
1413812310928240611,121,125,154,178,197,204,211,217
1413812311036318132,147,111,153,185,223,347,295,267
1413812311138579224,119,124,154,177,199,268,268,263
1413812311234154970,149,120,152,176,195,234,248,252
1413812311336755367,119,124,154,177,193,218,232,241
1413812311444972744,141,120,153,177,195,210,223,233
1413812311556264893,121,123,155,178,196,208,218,227
1413812311646389581,125,72,129,163,188,200,211,220
1413812311747269652,122,122,149,173,193,202,211,217
1413812311849904670,114,69,125,159,185,196,207,215
1413812311961116388,122,119,146,170,190,199,208,214
1413812312055688232,105,59,123,165,210,338,288,263
1413812312151686830,123,119,143,167,190,260,262,258
1413812312270865002,101,59,118,153,177,221,238,245
1413812312356616883,121,113,141,164,184,208,224,235
1413812312472212292,92,67,119,154,178,196,212,224
1413812312572238708,117,119,139,164,184,197,209,219
1413812312671364544,147,68,125,157,181,193,205,214
1413812312771807858,121,116,143,167,187,195,206,213
1413812312875873807,142,76,127,160,184,194,204,211
1413812312970966428,120,125,149,171,190,198,206,212
1413812313089682351,130,88,140,175,216,341,289,263
1413812313175374242,120,125,151,173,194,263,264,258
1413812313280158662,115,99,141,168,188,227,243,248
1413812313383385184,116,124,152,174,189,214,229,238
1413812313490113888,98,104,143,170,189,205,219,229
1413812313688807982,84,115,149,174,193,202,212,220
1413812313792362886,122,124,154,177,196,204,211,219
1413812313894876541,80,119,153,177,196,204,211,218
1413812314197264057,122,122,149,172,195,264,266,261
1413812314304323110,72,65,122,156,180,224,241,247
1413812314404664466,120,124,145,168,186,211,227,237
1413812314501936639,82,61,119,154,178,198,214,226
1413812314602735934,118,115,144,167,186,198,211,221
1413812314719593175,158,56,121,155,180,193,205,215
1413812314811064902,121,116,143,167,187,196,206,214
1413812314913388526,139,64,119,158,182,193,203,211
1413812315010437434,120,115,143,167,187,196,205,211
1413812315114019210,118,77,129,169,212,338,288,262
1413812315217996025,119,120,146,169,191,260,262,257
1413812315324193388,104,80,129,160,181,224,240,246
1413812315420116000,122,124,149,171,188,211,227,236
1413812315522444556,85,91,136,165,185,202,216,227
1413812315624703043,122,125,151,174,191,202,213,222
1413812315738064845,70,99,141,169,190,199,210,218
1413812315832614897,121,123,153,175,194,202,210,217
1413812316034306295,118,124,157,186,223,346,294,266
1413812316139685187,59,114,149,175,197,266,267,261
1413812316362215103,63,122,153,176,193,216,231,241
1413812316441265877,117,123,152,176,194,209,222,232
1413812316542625906,179,125,156,179,196,207,218,226
1413812316655218235,121,119,155,178,197,207,215,223
1413812316747070467,166,56,122,160,186,198,209,218
1413812316888555977,120,115,144,169,190,199,208,216
1413812316951915970,150,62,120,156,182,194,205,213
1413812317059666720,117,115,146,175,215,340,290,263
1413812317164120062,141,68,123,156,184,256,260,256
