%time,field.ch1,field.ch2,field.ch3,field.ch4,field.ch5,field.ch6,field.ch7,field.ch8
1413812154304665756,344,357,346,337,329,322,318,318
1413812154408123620,343,357,345,338,330,321,316,313
1413812154505946525,345,361,348,340,332,322,314,311
1413812154608274374,342,356,346,339,332,322,313,310
1413812154710265540,346,356,346,339,332,322,313,310
1413812154812464541,347,359,350,348,357,446,386,352
1413812154914843265,345,356,346,339,335,382,367,351
1413812155017608031,344,359,346,338,330,352,350,344
1413812155119744004,343,381,358,345,333,339,339,337
1413812155227830407,344,359,349,341,332,330,328,328
1413812155325404788,342,379,357,346,336,329,324,322
1413812155431882470,345,358,350,343,335,326,320,318
1413812155526419865,343,347,344,339,333,324,317,314
1413812155629981261,345,358,347,340,333,324,316,312
1413812155730231442,344,337,333,332,328,320,313,310
1413812155833975246,344,361,348,345,355,445,385,353
1413812155936728670,348,345,339,334,331,378,365,350
1413812156038686634,343,362,346,335,328,350,349,343
1413812156140659834,348,351,342,336,326,334,335,334
1413812156243915260,341,361,347,338,328,327,325,325
1413812156362481272,345,333,332,330,324,320,317,318
1413812156447001539,352,358,341,334,327,319,313,313
1413812156553201455,349,347,338,332,326,318,311,309
1413812156653305827,344,358,342,334,328,318,311,308
1413812156758055131,347,357,345,337,330,320,312,308
1413812156860784938,344,361,351,346,355,444,383,348
1413812156964389161,342,356,346,338,334,379,365,349
1413812157062746049,344,380,359,345,334,354,351,344
1413812157164337518,347,356,350,341,332,338,337,336
1413812157266879733,344,382,345,339,331,329,328,327
1413812157364560686,345,356,346,339,331,325,321,321
1413812157474663459,345,365,350,341,333,324,318,316
1413812157569940417,345,358,350,341,333,324,316,314
1413812157671912923,343,382,359,348,338,326,317,313
1413812157785684941,344,365,350,344,337,327,318,313
1413812157876103463,347,378,363,357,363,450,389,355
1413812157979918324,344,361,353,346,341,384,370,354
1413812158103196414,344,347,344,338,332,354,353,347
1413812158183559023,347,361,349,340,331,339,339,338
1413812158490270432,348,346,338,333,327,320,315,315
1413812158595000563,349,362,346,337,330,321,314,312
1413812158691803552,348,357,346,338,331,321,313,310
1413812158798622529,352,363,352,348,356,445,385,352
1413812158917567392,347,361,349,341,336,381,367,352
1413812159008414896,348,362,348,340,332,352,351,345
1413812159101583078,347,360,349,340,331,337,337,336
1413812159226308225,348,357,347,340,331,329,327,327
1413812159305381551,349,361,349,340,332,326,321,321
1413812159419686456,348,360,349,342,333,324,318,317
1413812159510823780,349,360,349,341,334,324,316,314
1413812159613436884,348,375,358,347,337,326,317,313
1413812159826807401,344,378,364,357,363,450,390,356
1413812159920935831,348,362,354,346,341,385,370,355
1413812160024560096,343,352,346,340,333,355,353,348
1413812160131116701,348,359,347,339,332,339,339,338
1413812160234775474,344,343,334,332,326,327,327,328
1413812160326206942,348,361,345,336,328,324,320,321
1413812160456061017,345,346,339,333,327,320,315,315
1413812160550910413,347,362,348,337,330,320,314,312
1413812160634280657,345,357,348,339,331,321,313,310
