%time,field.ch1,field.ch2,field.ch3,field.ch4,field.ch5,field.ch6,field.ch7,field.ch8
1413812296122347916,159,107,146,175,198,268,269,264
1413812296224168274,119,128,157,178,195,235,249,254
1413812296326685738,176,88,138,168,189,215,231,241
1413812296428506427,126,128,152,175,192,208,222,232
1413812296530761921,189,173,182,194,205,212,221,229
1413812296644488250,124,128,163,185,203,209,218,225
1413812296735490497,185,180,189,201,213,216,221,226
1413812296843698961,124,128,165,190,207,214,219,225
1413812296942879193,178,174,189,203,216,220,224,227
1413812297042638412,128,127,169,199,236,356,303,275
1413812297146348941,127,171,185,200,216,281,279,272
1413812297248375921,127,131,167,190,206,245,257,261
1413812297361040644,134,159,178,196,209,230,243,252
1413812297452505337,133,127,163,188,204,219,231,241
1413812297552973785,145,147,171,191,206,216,226,234
1413812297653118927,129,129,162,186,204,213,221,229
1413812297760679317,161,130,162,185,204,211,220,226
1413812297857701862,129,128,160,183,202,210,217,224
1413812297961443769,177,110,151,178,199,208,216,224
1413812298070859760,125,134,159,189,226,349,297,270
1413812298165641187,197,96,139,170,195,266,268,264
1413812298279701507,133,133,155,176,193,233,247,253
1413812298369805021,208,71,131,163,185,212,229,240
1413812298477018800,129,129,151,174,190,207,220,231
1413812298579364853,200,65,124,160,184,198,211,222
1413812298679979920,126,128,149,171,192,199,210,219
1413812298789291493,188,57,118,156,182,194,205,214
1413812298879813249,128,128,148,170,189,198,208,214
1413812298989652742,181,176,183,194,206,209,214,218
1413812299092251410,125,127,166,195,230,351,297,269
1413812299187533462,138,172,185,199,213,277,275,267
1413812299287149202,128,131,166,189,204,242,254,257
1413812299390313440,154,159,179,196,209,228,241,248
1413812299492035616,132,133,165,189,205,218,230,239
1413812299597642211,166,143,170,191,206,216,225,232
1413812299701270760,128,127,160,185,203,212,221,228
1413812299805039660,185,119,156,182,202,210,218,225
1413812299901640188,130,126,157,181,200,208,217,224
1413812300021740572,193,98,144,174,196,206,214,221
1413812300106871947,131,128,158,187,225,348,296,270
1413812300212337672,203,91,136,168,193,265,267,263
1413812300313470637,133,129,152,174,192,232,246,252
1413812300656575765,202,64,126,160,184,198,211,222
1413812300738667789,129,128,149,172,191,200,210,219
1413812300819180275,187,62,122,158,183,195,206,215
1413812300930099862,128,128,149,171,191,198,208,215
1413812301084466794,131,65,127,168,212,338,288,262
1413812301126184600,128,128,149,171,192,262,262,259
1413812301230724002,142,76,128,160,182,225,240,246
1413812301334698764,127,127,150,172,188,211,227,236
1413812301450835870,154,148,170,185,198,210,222,230
1413812301536396952,133,131,162,184,199,208,218,226
1413812301758524439,127,127,159,183,201,208,215,223
1413812301844174703,176,115,153,179,199,207,215,220
1413812301943684174,128,127,156,180,199,207,215,221
1413812302046177360,182,98,146,182,222,346,295,269
1413812302248792643,183,91,135,166,187,230,245,251
1413812302350800103,129,131,151,173,191,214,230,240
1413812302455464872,173,80,131,163,185,203,218,229
1413812302555674830,128,128,152,173,191,203,214,224
1413812302659073680,166,67,127,161,185,197,208,218
1413812302763392571,125,129,151,173,192,200,209,216
1413812302873910820,150,61,121,158,183,195,205,213
1413812303069283083,159,64,127,167,211,338,288,262
1413812303169676345,128,128,149,171,192,261,262,258
1413812303280717365,161,68,123,158,181,224,240,246
1413812303371974375,127,128,149,171,187,211,227,236
1413812303485093853,160,76,128,161,184,200,216,227
1413812303581717107,132,128,150,172,190,200,212,222
1413812303682764609,157,87,135,165,187,198,209,217
