%time,field.ch1,field.ch2,field.ch3,field.ch4,field.ch5,field.ch6,field.ch7,field.ch8
1413812220568512069,275,140,194,224,242,247,252,257
1413812220670570414,271,269,250,250,254,253,254,256
1413812220773463292,272,100,167,203,225,235,241,247
1413812220876119274,271,269,242,239,245,244,246,248
1413812220974086906,269,109,171,209,248,368,317,290
1413812221077772222,272,272,244,238,244,303,298,289
1413812221178593870,270,162,197,216,228,264,274,276
1413812221281498192,270,275,252,246,245,258,265,270
1413812221412020262,270,223,236,242,246,251,257,261
1413812221487085341,270,277,264,260,258,255,257,260
1413812221590002328,270,267,263,263,263,259,258,259
1413812221699745000,270,288,275,272,271,264,261,260
1413812221794944397,271,272,273,273,273,267,263,262
1413812221897169847,269,270,275,282,300,402,342,309
1413812222007532386,270,273,271,276,278,332,322,309
1413812222112945235,270,270,271,273,273,301,305,302
1413812222203230707,272,272,272,273,273,285,291,293
1413812222302418281,272,273,273,275,275,279,282,286
1413812222464967631,269,273,273,275,275,276,276,279
1413812222559043692,274,276,276,277,275,275,273,275
1413812222643862795,271,272,273,276,277,273,271,272
1413812222724090062,273,280,278,278,279,274,271,271
1413812222813990479,270,272,274,277,278,274,271,270
1413812222920353037,270,283,283,289,306,407,348,316
1413812223018715960,270,272,274,277,281,336,326,314
1413812223136369453,272,286,282,280,279,307,309,306
1413812223222472440,273,274,275,277,276,289,294,296
1413812223325217191,272,286,283,282,280,283,287,290
1413812223433777153,270,277,277,279,279,279,279,282
1413812223528644455,274,291,282,282,282,278,276,278
1413812223834473899,271,273,273,276,279,275,272,272
1413812223940781138,281,225,250,269,294,400,344,314
1413812224039555401,272,273,264,267,273,330,322,311
1413812224140257513,285,164,209,235,248,285,295,297
1413812224242953938,271,273,254,254,256,272,281,286
1413812224348137766,278,108,175,209,230,247,259,269
1413812224550190827,271,293,274,265,261,257,257,260
1413812224682360088,269,272,270,268,267,261,259,260
1413812224765100560,276,284,280,276,276,268,263,262
1413812224868171804,273,272,273,275,276,270,265,264
1413812225061266261,272,272,268,271,276,331,321,310
1413812225268266150,272,266,258,259,261,276,285,289
1413812225404018740,278,143,193,222,239,254,264,273
1413812225472609572,273,266,247,247,251,254,259,265
1413812225671703075,271,273,242,239,243,243,246,251
1413812225880346480,270,274,242,237,241,239,241,244
1413812225980646832,270,143,191,220,253,370,316,288
1413812226183631575,270,209,225,234,240,272,279,279
1413812226393773385,266,253,255,256,256,260,264,268
1413812226501672662,273,269,265,264,262,261,261,264
1413812226596355844,279,272,269,269,268,264,262,263
1413812226692949425,270,268,268,270,271,266,263,262
1413812226796632640,273,272,271,272,273,268,265,264
1413812226900253256,270,265,274,281,300,402,343,311
1413812227000332570,270,124,188,223,247,313,309,302
1413812227110189825,271,272,249,249,253,285,292,293
1413812227203341215,269,169,202,223,236,258,270,277
1413812227307912484,270,275,253,250,251,257,264,271
1413812227408872681,277,218,232,241,247,251,256,262
1413812227510800200,270,283,263,260,259,256,256,259
1413812227620529030,268,263,260,262,263,259,257,259
1413812227715818146,271,284,278,273,272,265,261,260
1413812227820971284,271,273,276,275,274,268,264,262
