%time,field.ch1,field.ch2,field.ch3,field.ch4,field.ch5,field.ch6,field.ch7,field.ch8
1413812282032632760,115,138,174,202,237,357,303,275
1413812282134603974,139,169,186,201,217,283,279,272
1413812282236984334,121,144,170,192,208,246,258,261
1413812282339373447,145,167,184,200,211,231,244,251
1413812282441524904,122,146,173,193,208,222,233,242
1413812282547121243,162,144,172,193,209,218,227,235
1413812282671611427,133,140,170,191,208,215,223,231
1413812282751462804,139,153,176,194,210,216,222,229
1413812282852212556,141,140,169,191,209,215,222,227
1413812282954223030,146,159,180,198,212,217,222,227
1413812283053450882,138,140,174,201,237,357,303,276
1413812283154481793,141,168,184,200,216,281,279,272
1413812283256660994,142,139,170,192,207,245,258,261
1413812283359767429,142,175,189,202,212,233,245,252
1413812283470617199,144,139,172,194,209,222,233,242
1413812283567701891,145,171,187,203,215,222,230,237
1413812283666173194,119,140,172,195,211,218,225,232
1413812283804533669,152,162,183,200,215,220,225,231
1413812283872369184,130,141,172,194,211,218,224,229
1413812283978968804,169,151,176,196,213,218,224,228
1413812284081720258,138,137,173,201,237,356,304,277
1413812284196147029,184,131,164,188,208,277,277,271
1413812284277754419,141,139,165,186,203,242,255,260
1413812284380907326,201,110,152,179,197,222,237,247
1413812284489598062,146,137,164,183,200,214,227,237
1413812284594620332,143,83,137,170,192,206,218,228
1413812284689784516,142,143,159,180,198,207,216,224
1413812284796771066,142,72,124,161,187,199,211,220
1413812284890892859,142,140,158,177,196,203,212,219
1413812285025406207,146,168,184,203,233,352,298,269
1413812285106060363,140,139,168,190,207,273,272,266
1413812285198594601,161,162,182,197,208,244,255,258
1413812285301002685,141,140,170,191,205,228,240,248
1413812285402981395,173,153,176,195,209,221,232,240
1413812285505300690,142,140,169,191,208,216,226,234
1413812285610491452,185,136,167,190,207,215,223,230
1413812285712161622,146,140,167,189,206,214,221,227
1413812285815113479,196,112,152,181,199,210,219,225
1413812285918515424,140,140,163,185,203,210,218,221
1413812286020841011,194,83,140,179,222,346,296,269
1413812286123568206,142,135,157,178,199,268,269,264
1413812286218369194,180,64,124,160,184,228,245,251
1413812286324328671,141,141,157,175,191,215,231,240
1413812286425229577,162,56,120,157,181,200,217,228
1413812286529390648,142,144,156,175,192,202,214,223
1413812286627518282,178,59,122,158,183,195,207,217
1413812286729938872,142,138,155,175,192,200,209,216
1413812286832464721,176,79,132,164,187,198,207,215
1413812286938216926,141,143,157,178,195,202,209,215
1413812287040351700,173,87,142,178,218,342,291,264
1413812287164537222,138,138,158,178,197,265,266,261
1413812287252531544,181,125,155,178,194,233,246,251
1413812287344348220,141,140,165,183,197,219,233,241
1413812287451099139,168,136,165,185,200,212,224,233
1413812287549882453,142,139,168,188,203,211,221,228
1413812287654130810,156,80,137,170,193,204,214,223
1413812287752432907,140,135,157,180,198,206,214,221
1413812287852887088,142,61,124,160,187,199,209,217
1413812287955057200,140,136,154,175,196,202,210,216
1413812288066165866,126,56,123,166,211,339,289,264
1413812288159930020,145,136,153,173,193,263,264,260
1413812288267470388,125,68,124,158,181,225,240,247
1413812288365006296,141,139,157,175,190,213,228,238
1413812288466280006,165,91,138,167,187,203,217,228
1413812288571413643,142,147,163,181,196,204,215,224
1413812288667581271,154,111,150,176,194,203,212,220
