%time,field.ch1,field.ch2,field.ch3,field.ch4,field.ch5,field.ch6,field.ch7,field.ch8
1413812390575494527,90,85,132,164,185,203,218,228
1413812390677876293,86,92,134,164,185,200,212,222
1413812390780928975,90,88,133,162,185,197,208,217
1413812390882883247,85,91,134,163,186,196,207,215
1413812390984804959,90,97,136,165,187,196,205,213
1413812391087325444,89,91,134,163,186,195,205,212
1413812391196820346,86,115,150,180,218,342,290,263
1413812391288326086,8,87,133,163,188,259,261,256
1413812391398574744,86,135,158,176,193,232,245,250
1413812391503522272,52,91,139,168,187,212,228,238
1413812391599667394,90,139,161,180,195,209,222,231
1413812391698587202,89,92,141,171,191,203,215,224
1413812391807620828,94,123,153,177,195,204,213,221
1413812391908367672,86,90,137,168,191,201,210,218
1413812392005208482,105,99,139,168,190,202,209,216
1413812392109153319,89,89,134,164,188,198,208,215
1413812392214384026,107,70,128,167,211,338,288,263
1413812392312330292,87,92,130,160,186,258,261,258
1413812392441766370,92,55,114,150,176,220,237,245
1413812392520380703,90,91,127,156,178,204,222,233
1413812392615115564,94,48,110,147,173,193,209,223
1413812392717721001,85,91,127,154,178,192,205,216
1413812392822435499,93,54,113,149,175,188,200,211
1413812392933329169,86,96,125,155,179,190,201,209
1413812393026001177,100,124,149,170,189,196,204,210
1413812393138368931,88,91,132,163,186,195,204,210
1413812393230316653,96,101,143,176,215,340,288,261
1413812393332851809,91,92,137,165,189,260,262,257
1413812393436334896,95,77,129,159,182,224,240,246
1413812393540553717,86,91,135,162,182,208,225,235
1413812393638899631,67,62,118,154,178,197,213,224
1413812393742130078,86,92,133,160,182,196,208,219
1413812393844133334,46,51,112,150,176,190,203,213
1413812393950756546,89,88,126,157,180,189,202,211
1413812394047217668,63,50,110,148,176,188,199,208
1413812394152653567,85,84,128,164,206,333,283,257
1413812394255988356,102,60,115,149,178,251,255,251
1413812394388011373,87,89,127,155,177,220,235,242
1413812394480145804,86,76,123,154,176,203,220,230
1413812394558629639,87,89,129,158,179,196,211,222
1413812394658991894,51,84,128,158,180,194,206,216
1413812394761480240,88,92,133,161,183,194,205,213
1413812394866798055,18,92,133,161,183,194,204,212
1413812394966290480,93,91,133,162,184,196,204,211
1413812395073996554,34,88,131,161,184,194,203,210
1413812395175524613,87,88,135,170,212,338,287,260
1413812395290445255,59,92,133,161,186,257,259,256
1413812395377766991,89,84,130,159,181,224,240,245
1413812395473832777,63,69,120,154,177,204,222,233
1413812395605627241,89,78,125,156,178,196,212,224
1413812395680515262,67,85,128,158,180,193,207,217
1413812395784349864,86,91,132,161,183,194,205,214
1413812395883890336,84,88,131,161,184,194,203,212
1413812396006032014,94,115,145,170,189,197,205,212
1413812396089811049,11,92,136,165,187,196,204,211
1413812396193380473,86,142,166,189,224,346,292,264
1413812396293269436,64,91,140,169,193,263,264,259
1413812396401351526,86,146,165,182,197,235,248,251
1413812396513094131,89,90,141,170,190,215,231,240
1413812396600255961,94,128,156,178,194,209,223,232
1413812396712831952,94,91,139,169,191,203,215,225
1413812396909707607,96,89,133,163,187,198,208,216
1413812397007872662,117,105,140,167,189,198,208,215
1413812397315376577,89,95,136,166,191,261,263,259
1413812397428354019,88,151,164,181,196,234,247,251
1413812397520696171,89,95,137,169,188,213,229,239
1413812397620387477,88,152,163,182,197,211,223,232
1413812397743115507,86,96,140,171,192,204,216,225
1413812397830801804,100,127,158,179,197,206,215,222
1413812397930884201,86,93,140,170,192,202,211,219
1413812398031893474,116,100,143,170,192,202,210,217
1413812398139043350,90,93,136,166,190,200,209,216
1413812398234455784,122,60,123,166,210,338,288,263
1413812398337505698,90,92,130,160,186,257,260,257
1413812398450207054,121,47,109,149,175,220,237,244
1413812398538040442,88,92,128,157,178,204,222,233
1413812398640339304,98,50,109,148,173,193,210,222
